# ---$x/\lambda_\mathrm{l}$---	---$z/\lambda_\mathrm{l}$---
-2 0.0220784
-2 0.0545402
-1.99902 0.0545402
-1.99805 0.0545402
-1.99707 0.0545402
-1.99609 0.0545402
-1.99512 0.0545402
-1.99414 0.0545402
-1.99316 0.0545402
-1.99219 0.0545402
-1.99121 0.0545402
-1.99023 0.0545402
-1.98926 0.0545402
-1.98828 0.0545402
-1.9873 0.0545402
-1.98633 0.0545402
-1.98535 0.0545402
-1.98438 0.0545402
-1.9834 0.0545402
-1.98242 0.0545402
-1.98145 0.0545402
-1.98047 0.0545402
-1.97949 0.0545402
-1.97852 0.0545402
-1.97754 0.0545402
-1.97656 0.0545402
-1.97559 0.0545402
-1.97461 0.0545402
-1.97363 0.0545402
-1.97266 0.0545402
-1.97168 0.0545402
-1.9707 0.0545402
-1.96973 0.0545402
-1.96875 0.0545402
-1.96777 0.0545402
-1.9668 0.0545402
-1.96582 0.0545402
-1.96484 0.0545402
-1.96387 0.0545402
-1.96289 0.0545402
-1.96191 0.0545402
-1.96094 0.0545402
-1.95996 0.0545402
-1.95898 0.0545402
-1.95801 0.0545402
-1.95703 0.0545402
-1.95605 0.0545402
-1.95508 0.0545402
-1.9541 0.0545402
-1.95312 0.0545402
-1.95215 0.0545402
-1.95117 0.0545402
-1.9502 0.0545402
-1.94922 0.0545402
-1.94824 0.0545402
-1.94727 0.0545402
-1.94629 0.0545402
-1.94531 0.0545402
-1.94434 0.0545402
-1.94336 0.0545402
-1.94238 0.0545402
-1.94141 0.0545402
-1.94043 0.0545402
-1.93945 0.0545402
-1.93848 0.0545402
-1.9375 0.0545402
-1.93652 0.0545402
-1.93555 0.0545402
-1.93457 0.0545402
-1.93359 0.0545402
-1.93262 0.0545402
-1.93164 0.0545402
-1.93066 0.0545402
-1.92969 0.0545402
-1.92871 0.0545402
-1.92773 0.0545402
-1.92676 0.0545402
-1.92578 0.0545402
-1.9248 0.0545402
-1.92383 0.0545402
-1.92285 0.0545402
-1.92188 0.0545402
-1.9209 0.0545402
-1.91992 0.0545402
-1.91895 0.0545402
-1.91797 0.0545402
-1.91699 0.0545402
-1.91602 0.0545402
-1.91504 0.0545402
-1.91406 0.0545402
-1.91309 0.0545402
-1.91211 0.0545402
-1.91113 0.0545402
-1.91016 0.0545402
-1.90918 0.0545402
-1.9082 0.0545402
-1.90723 0.0545402
-1.90625 0.0545402
-1.90527 0.0545402
-1.9043 0.0545402
-1.90332 0.0545402
-1.90234 0.0545402
-1.90137 0.0545402
-1.90039 0.0545402
-1.89941 0.0545402
-1.89844 0.0545402
-1.89746 0.0545402
-1.89648 0.0545402
-1.89551 0.0545402
-1.89453 0.0545402
-1.89355 0.0545402
-1.89258 0.0545402
-1.8916 0.0545402
-1.89062 0.0545402
-1.88965 0.0545402
-1.88867 0.0545402
-1.8877 0.0545402
-1.88672 0.0545402
-1.88574 0.0545402
-1.88477 0.0545402
-1.88379 0.0545402
-1.88281 0.0545402
-1.88184 0.0545402
-1.88086 0.0545402
-1.87988 0.0545402
-1.87891 0.0545402
-1.87793 0.0545402
-1.87695 0.0545402
-1.87598 0.0545402
-1.875 0.0545402
-1.87402 0.0545402
-1.87305 0.0545402
-1.87207 0.0545402
-1.87109 0.0545402
-1.87012 0.0545402
-1.86914 0.0545402
-1.86816 0.0545402
-1.86719 0.0545402
-1.86621 0.0545402
-1.86523 0.0545402
-1.86426 0.0545402
-1.86328 0.0545402
-1.8623 0.0545402
-1.86133 0.0545402
-1.86035 0.0545402
-1.85938 0.0545402
-1.8584 0.0545402
-1.85742 0.0545402
-1.85645 0.0545402
-1.85547 0.0545402
-1.85449 0.0545402
-1.85352 0.0545402
-1.85254 0.0545402
-1.85156 0.0545402
-1.85059 0.0545402
-1.84961 0.0545402
-1.84863 0.0545402
-1.84766 0.0545402
-1.84668 0.0545402
-1.8457 0.0545402
-1.84473 0.0545402
-1.84375 0.0545402
-1.84277 0.0545402
-1.8418 0.0545402
-1.84082 0.0545402
-1.83984 0.0545402
-1.83887 0.0545402
-1.83789 0.0545402
-1.83691 0.0545402
-1.83594 0.0545402
-1.83496 0.0545402
-1.83398 0.0545402
-1.83301 0.0545402
-1.83203 0.0545402
-1.83105 0.0545402
-1.83008 0.0545402
-1.8291 0.0545402
-1.82812 0.0545402
-1.82715 0.0545402
-1.82617 0.0545402
-1.8252 0.0545402
-1.82422 0.0545402
-1.82324 0.0545402
-1.82227 0.0545402
-1.82129 0.0545402
-1.82031 0.0545402
-1.81934 0.0545402
-1.81836 0.0545402
-1.81738 0.0545402
-1.81641 0.0545402
-1.81543 0.0545402
-1.81445 0.0545402
-1.81348 0.0545402
-1.8125 0.0545402
-1.81152 0.0545402
-1.81055 0.0545402
-1.80957 0.0545402
-1.80859 0.0545402
-1.80762 0.0545402
-1.80664 0.0545402
-1.80566 0.0545402
-1.80469 0.0545402
-1.80371 0.0545402
-1.80273 0.0545402
-1.80176 0.0545402
-1.80078 0.0545402
-1.7998 0.0545402
-1.79883 0.0545402
-1.79785 0.0545402
-1.79688 0.0545402
-1.7959 0.0545402
-1.79492 0.0545402
-1.79395 0.0545402
-1.79297 0.0545402
-1.79199 0.0545402
-1.79102 0.0545402
-1.79004 0.0545402
-1.78906 0.0545402
-1.78809 0.0545402
-1.78711 0.0545402
-1.78613 0.0545402
-1.78516 0.0545402
-1.78418 0.0545402
-1.7832 0.0545402
-1.78223 0.0545402
-1.78125 0.0545402
-1.78027 0.0545402
-1.7793 0.0545402
-1.77832 0.0545402
-1.77734 0.0545402
-1.77637 0.0545402
-1.77539 0.0545402
-1.77441 0.0545402
-1.77344 0.0545402
-1.77246 0.0545402
-1.77148 0.0545402
-1.77051 0.0545402
-1.76953 0.0545402
-1.76855 0.0545402
-1.76758 0.0545402
-1.7666 0.0545402
-1.76562 0.0545402
-1.76465 0.0545402
-1.76367 0.0545402
-1.7627 0.0545402
-1.76172 0.0545402
-1.76074 0.0545402
-1.75977 0.0545402
-1.75879 0.0545402
-1.75781 0.0545402
-1.75684 0.0545402
-1.75586 0.0545402
-1.75488 0.0545402
-1.75391 0.0545402
-1.75293 0.0545402
-1.75195 0.0545402
-1.75098 0.0545402
-1.75 0.0545402
-1.74902 0.0545402
-1.74805 0.0545402
-1.74707 0.0545402
-1.74609 0.0545402
-1.74512 0.0545402
-1.74414 0.0545402
-1.74316 0.0545402
-1.74219 0.0545402
-1.74121 0.0545402
-1.74023 0.0545402
-1.73926 0.0545402
-1.73828 0.0545402
-1.7373 0.0545402
-1.73633 0.0545402
-1.73535 0.0545402
-1.73438 0.0545402
-1.7334 0.0545402
-1.73242 0.0545402
-1.73145 0.0545402
-1.73047 0.0545402
-1.72949 0.0545402
-1.72852 0.0545402
-1.72754 0.0545402
-1.72656 0.0545402
-1.72559 0.0545402
-1.72461 0.0545402
-1.72363 0.0545402
-1.72266 0.0545402
-1.72168 0.0545402
-1.7207 0.0545402
-1.71973 0.0545402
-1.71875 0.0545402
-1.71777 0.0545402
-1.7168 0.0545402
-1.71582 0.0545402
-1.71484 0.0545402
-1.71387 0.0545402
-1.71289 0.0545402
-1.71191 0.0545402
-1.71094 0.0545402
-1.70996 0.0545402
-1.70898 0.0545402
-1.70801 0.0545402
-1.70703 0.0545402
-1.70605 0.0545402
-1.70508 0.0545402
-1.7041 0.0545402
-1.70312 0.0545402
-1.70215 0.0545402
-1.70117 0.0545402
-1.7002 0.0545402
-1.69922 0.0545402
-1.69824 0.0545402
-1.69727 0.0545402
-1.69629 0.0545402
-1.69531 0.0545402
-1.69434 0.0545402
-1.69336 0.0545402
-1.69238 0.0545402
-1.69141 0.0545402
-1.69043 0.0545402
-1.68945 0.0545402
-1.68848 0.0545402
-1.6875 0.0545402
-1.68652 0.0545402
-1.68555 0.0545402
-1.68457 0.0545402
-1.68359 0.0545402
-1.68262 0.0545402
-1.68164 0.0545402
-1.68066 0.0545402
-1.67969 0.0545402
-1.67871 0.0545402
-1.67773 0.0545402
-1.67676 0.0545402
-1.67578 0.0545402
-1.6748 0.0545402
-1.67383 0.0545402
-1.67285 0.0545402
-1.67188 0.0545402
-1.6709 0.0545402
-1.66992 0.0545402
-1.66895 0.0545402
-1.66797 0.0545402
-1.66699 0.0545402
-1.66602 0.0545402
-1.66504 0.0545402
-1.66406 0.0545402
-1.66309 0.0545402
-1.66211 0.0545402
-1.66113 0.0545402
-1.66016 0.0545402
-1.65918 0.0545402
-1.6582 0.0545402
-1.65723 0.0545402
-1.65625 0.0545402
-1.65527 0.0545402
-1.6543 0.0545402
-1.65332 0.0545402
-1.65234 0.0545402
-1.65137 0.0545402
-1.65039 0.0545402
-1.64941 0.0545402
-1.64844 0.0545402
-1.64746 0.0545402
-1.64648 0.0545402
-1.64551 0.0545402
-1.64453 0.0545402
-1.64355 0.0545402
-1.64258 0.0545402
-1.6416 0.0545402
-1.64062 0.0545402
-1.63965 0.0545402
-1.63867 0.0545402
-1.6377 0.0545402
-1.63672 0.0545402
-1.63574 0.0545402
-1.63477 0.0545402
-1.63379 0.0545402
-1.63281 0.0545402
-1.63184 0.0545402
-1.63086 0.0545402
-1.62988 0.0545402
-1.62891 0.0545402
-1.62793 0.0545402
-1.62695 0.0545402
-1.62598 0.0545402
-1.625 0.0545402
-1.62402 0.0545402
-1.62305 0.0545402
-1.62207 0.0545402
-1.62109 0.0545402
-1.62012 0.0545402
-1.61914 0.0545402
-1.61816 0.0545402
-1.61719 0.0545402
-1.61621 0.0545402
-1.61523 0.0545402
-1.61426 0.0545402
-1.61328 0.0545402
-1.6123 0.0545402
-1.61133 0.0545402
-1.61035 0.0545402
-1.60938 0.0545402
-1.6084 0.0545402
-1.60742 0.0545402
-1.60645 0.0545402
-1.60547 0.0545402
-1.60449 0.0545402
-1.60352 0.0545402
-1.60254 0.0545402
-1.60156 0.0545402
-1.60059 0.0545402
-1.59961 0.0545402
-1.59863 0.0545402
-1.59766 0.0545402
-1.59668 0.0545402
-1.5957 0.0545402
-1.59473 0.0545402
-1.59375 0.0545402
-1.59277 0.0545402
-1.5918 0.0545402
-1.59082 0.0545402
-1.58984 0.0545402
-1.58887 0.0545402
-1.58789 0.0545402
-1.58691 0.0545402
-1.58594 0.0545402
-1.58496 0.0545402
-1.58398 0.0545402
-1.58301 0.0545402
-1.58203 0.0545402
-1.58105 0.0545402
-1.58008 0.0545402
-1.5791 0.0545402
-1.57812 0.0545402
-1.57715 0.0545402
-1.57617 0.0545402
-1.5752 0.0545402
-1.57422 0.0545402
-1.57324 0.0545402
-1.57227 0.0545402
-1.57129 0.0545402
-1.57031 0.0545402
-1.56934 0.0545402
-1.56836 0.0545402
-1.56738 0.0545402
-1.56641 0.0545402
-1.56543 0.0545402
-1.56445 0.0545402
-1.56348 0.0545402
-1.5625 0.0545402
-1.56152 0.0545402
-1.56055 0.0545402
-1.55957 0.0545402
-1.55859 0.0545402
-1.55762 0.0545402
-1.55664 0.0545402
-1.55566 0.0545402
-1.55469 0.0545402
-1.55371 0.0545402
-1.55273 0.0545402
-1.55176 0.0545402
-1.55078 0.0545402
-1.5498 0.0545402
-1.54883 0.0545402
-1.54785 0.0545402
-1.54688 0.0545402
-1.5459 0.0545402
-1.54492 0.0545402
-1.54395 0.0545402
-1.54297 0.0545402
-1.54199 0.0545402
-1.54102 0.0545402
-1.54004 0.0545402
-1.53906 0.0545402
-1.53809 0.0545402
-1.53711 0.0545402
-1.53613 0.0545402
-1.53516 0.0545402
-1.53418 0.0545402
-1.5332 0.0545402
-1.53223 0.0545402
-1.53125 0.0545402
-1.53027 0.0545402
-1.5293 0.0545402
-1.52832 0.0545402
-1.52734 0.0545402
-1.52637 0.0545402
-1.52539 0.0545402
-1.52441 0.0545402
-1.52344 0.0545402
-1.52246 0.0545402
-1.52148 0.0545402
-1.52051 0.0545402
-1.51953 0.0545402
-1.51855 0.0545402
-1.51758 0.0545402
-1.5166 0.0545402
-1.51562 0.0545402
-1.51465 0.0545402
-1.51367 0.0545402
-1.5127 0.0545402
-1.51172 0.0545402
-1.51074 0.0545402
-1.50977 0.0545402
-1.50879 0.0545402
-1.50781 0.0545402
-1.50684 0.0545402
-1.50586 0.0545402
-1.50488 0.0545402
-1.50391 0.0545402
-1.50293 0.0545402
-1.50195 0.0545402
-1.50098 0.0545402
-1.5 0.0545402
-1.49902 0.0545402
-1.49805 0.0545402
-1.49707 0.0545402
-1.49609 0.0545402
-1.49512 0.0545402
-1.49414 0.0545402
-1.49316 0.0545402
-1.49219 0.0545402
-1.49121 0.0545402
-1.49023 0.0545402
-1.48926 0.0545402
-1.48828 0.0545402
-1.4873 0.0545402
-1.48633 0.0545402
-1.48535 0.0545402
-1.48438 0.0545402
-1.4834 0.0545402
-1.48242 0.0545402
-1.48145 0.0545402
-1.48047 0.0545402
-1.47949 0.0545402
-1.47852 0.0545402
-1.47754 0.0545402
-1.47656 0.0545402
-1.47559 0.0545402
-1.47461 0.0545402
-1.47363 0.0545402
