# ---$x/\lambda_\mathrm{l}$---	---$z/\lambda_\mathrm{l}$---
-2 0.0220927
-1.99902 0.022184
-1.99805 0.0222943
-1.99707 0.0223793
-1.99609 0.0224367
-1.99512 0.0224595
-1.99414 0.0224224
-1.99316 0.0223059
-1.99219 0.0221753
-1.99121 0.0220754
-1.99023 0.022035
-1.98926 0.0220612
-1.98828 0.022139
-1.9873 0.0222412
-1.98633 0.0223415
-1.98535 0.0224262
-1.98438 0.0224983
-1.9834 0.0225754
-1.98242 0.0226796
-1.98145 0.0228273
-1.98047 0.0230215
-1.97949 0.0232475
-1.97852 0.0234481
-1.97754 0.0235956
-1.97656 0.0237109
-1.97559 0.0238026
-1.97461 0.0238741
-1.97363 0.0239279
-1.97266 0.0239657
-1.97168 0.0239885
-1.9707 0.0239967
-1.96973 0.0239897
-1.96875 0.0239657
-1.96777 0.0239217
-1.9668 0.0238538
-1.96582 0.0237526
-1.96484 0.0235962
-1.96387 0.0234369
-1.96289 0.0232962
-1.96191 0.0231869
-1.96094 0.0231183
-1.95996 0.0230948
-1.95898 0.0231167
-1.95801 0.0231808
-1.95703 0.0232813
-1.95605 0.0234107
-1.95508 0.0235608
-1.9541 0.0237232
-1.95312 0.0238896
-1.95215 0.0240168
-1.95117 0.0241265
-1.9502 0.0242177
-1.94922 0.0242913
-1.94824 0.0243485
-1.94727 0.0243875
-1.94629 0.0244068
-1.94531 0.0244028
-1.94434 0.0243645
-1.94336 0.024256
-1.94238 0.0241172
-1.94141 0.0240214
-1.94043 0.0239936
-1.93945 0.0240391
-1.93848 0.0241465
-1.9375 0.0242928
-1.93652 0.024453
-1.93555 0.0246077
-1.93457 0.0247485
-1.93359 0.0248771
-1.93262 0.0250001
-1.93164 0.0251232
-1.93066 0.0252457
-1.92969 0.0253615
-1.92871 0.0254635
-1.92773 0.0255503
-1.92676 0.0256305
-1.92578 0.025722
-1.9248 0.0258417
-1.92383 0.0259548
-1.92285 0.0260428
-1.92188 0.0261119
-1.9209 0.0261642
-1.91992 0.0261994
-1.91895 0.026217
-1.91797 0.0262156
-1.91699 0.0261936
-1.91602 0.0261485
-1.91504 0.0260755
-1.91406 0.0259599
-1.91309 0.0257606
-1.91211 0.0255848
-1.91113 0.0254448
-1.91016 0.0253358
-1.90918 0.0252551
-1.9082 0.0252035
-1.90723 0.0251848
-1.90625 0.0252011
-1.90527 0.0252493
-1.9043 0.0253204
-1.90332 0.0254024
-1.90234 0.0254847
-1.90137 0.0255632
-1.90039 0.02564
-1.89941 0.0257217
-1.89844 0.0258137
-1.89746 0.0259159
-1.89648 0.0260205
-1.89551 0.026103
-1.89453 0.0261461
-1.89355 0.0261667
-1.89258 0.0261706
-1.8916 0.0261575
-1.89062 0.0261227
-1.88965 0.026052
-1.88867 0.0259455
-1.8877 0.0258248
-1.88672 0.0257023
-1.88574 0.025594
-1.88477 0.0255195
-1.88379 0.0254955
-1.88281 0.0255288
-1.88184 0.0256103
-1.88086 0.0257134
-1.87988 0.0257955
-1.87891 0.0258008
-1.87793 0.0257472
-1.87695 0.0256375
-1.87598 0.0254216
-1.875 0.0251459
-1.87402 0.0248563
-1.87305 0.0245961
-1.87207 0.0243982
-1.87109 0.0242785
-1.87012 0.0242366
-1.86914 0.0242581
-1.86816 0.0243218
-1.86719 0.0244055
-1.86621 0.0244914
-1.86523 0.0245692
-1.86426 0.0246363
-1.86328 0.0246957
-1.8623 0.0247531
-1.86133 0.0248126
-1.86035 0.024874
-1.85938 0.0249322
-1.8584 0.0249782
-1.85742 0.0250026
-1.85645 0.0250002
-1.85547 0.0249715
-1.85449 0.0249235
-1.85352 0.0248663
-1.85254 0.0248085
-1.85156 0.0247529
-1.85059 0.0246954
-1.84961 0.024627
-1.84863 0.0245384
-1.84766 0.0244254
-1.84668 0.0242918
-1.8457 0.024149
-1.84473 0.0240108
-1.84375 0.0238881
-1.84277 0.023784
-1.8418 0.0236926
-1.84082 0.0236021
-1.83984 0.0234999
-1.83887 0.0233777
-1.83789 0.0232337
-1.83691 0.0230714
-1.83594 0.0228959
-1.83496 0.0227102
-1.83398 0.0225132
-1.83301 0.0223005
-1.83203 0.0220677
-1.83105 0.0218126
-1.83008 0.0215368
-1.8291 0.0212449
-1.82812 0.0209424
-1.82715 0.0206351
-1.82617 0.0203298
-1.8252 0.0200379
-1.82422 0.0197767
-1.82324 0.0195691
-1.82227 0.0194378
-1.82129 0.0193973
-1.82031 0.0194453
-1.81934 0.0195604
-1.81836 0.0197061
-1.81738 0.0198428
-1.81641 0.0199411
-1.81543 0.0199923
-1.81445 0.0200085
-1.81348 0.0200143
-1.8125 0.0200313
-1.81152 0.0200659
-1.81055 0.0201045
-1.80957 0.0201215
-1.80859 0.0200946
-1.80762 0.0200218
-1.80664 0.0199287
-1.80566 0.0198628
-1.80469 0.0198744
-1.80371 0.0199935
-1.80273 0.0202135
-1.80176 0.0204897
-1.80078 0.0207554
-1.7998 0.0209485
-1.79883 0.0210367
-1.79785 0.0210301
-1.79688 0.0209739
-1.7959 0.0209257
-1.79492 0.020928
-1.79395 0.0209873
-1.79297 0.0210723
-1.79199 0.0211308
-1.79102 0.0211169
-1.79004 0.0210174
-1.78906 0.0208627
-1.78809 0.0207188
-1.78711 0.0206623
-1.78613 0.0207512
-1.78516 0.0210026
-1.78418 0.0213885
-1.7832 0.0218491
-1.78223 0.0223167
-1.78125 0.0227407
-1.78027 0.0231007
-1.7793 0.0234059
-1.77832 0.023682
-1.77734 0.0239545
-1.77637 0.0242359
-1.77539 0.0245234
-1.77441 0.024806
-1.77344 0.0250753
-1.77246 0.0253344
-1.77148 0.0255986
-1.77051 0.0258884
-1.76953 0.0262188
-1.76855 0.0265889
-1.76758 0.0269802
-1.7666 0.0273603
-1.76562 0.027694
-1.76465 0.0279541
-1.76367 0.0281292
-1.7627 0.0282239
-1.76172 0.0282535
-1.76074 0.0282392
-1.75977 0.0282007
-1.75879 0.0281525
-1.75781 0.0281045
-1.75684 0.0280632
-1.75586 0.028033
-1.75488 0.0280174
-1.75391 0.0280189
-1.75293 0.0280381
-1.75195 0.0280752
-1.75098 0.0281301
-1.75 0.0282037
-1.74902 0.0282966
-1.74805 0.0284079
-1.74707 0.0285324
-1.74609 0.0286602
-1.74512 0.0287787
-1.74414 0.0288775
-1.74316 0.0289541
-1.74219 0.0290178
-1.74121 0.0290878
-1.74023 0.0291871
-1.73926 0.0293312
-1.73828 0.029518
-1.7373 0.0297132
-1.73633 0.0298214
-1.73535 0.0298807
-1.73438 0.0299064
-1.7334 0.0299002
-1.73242 0.0298559
-1.73145 0.0297426
-1.73047 0.0295883
-1.72949 0.0294861
-1.72852 0.0294614
-1.72754 0.0295048
-1.72656 0.0295819
-1.72559 0.0296404
-1.72461 0.0296382
-1.72363 0.0295964
-1.72266 0.0295063
-1.72168 0.0293798
-1.7207 0.0292733
-1.71973 0.0292307
-1.71875 0.0292835
-1.71777 0.0294372
-1.7168 0.0296468
-1.71582 0.0297843
-1.71484 0.0298857
-1.71387 0.029968
-1.71289 0.0300351
-1.71191 0.0300904
-1.71094 0.0301353
-1.70996 0.030171
-1.70898 0.030198
-1.70801 0.0302173
-1.70703 0.0302296
-1.70605 0.0302355
-1.70508 0.0302358
-1.7041 0.030231
-1.70312 0.0302216
-1.70215 0.0302081
-1.70117 0.0301911
-1.7002 0.0301707
-1.69922 0.0301474
-1.69824 0.0301215
-1.69727 0.0300932
-1.69629 0.0300628
-1.69531 0.0300305
-1.69434 0.0299965
-1.69336 0.029961
-1.69238 0.0299242
-1.69141 0.0298862
-1.69043 0.0298471
-1.68945 0.0298071
-1.68848 0.0297662
-1.6875 0.0297247
-1.68652 0.0296825
-1.68555 0.0296398
-1.68457 0.0295966
-1.68359 0.0295531
-1.68262 0.0295092
-1.68164 0.0294651
-1.68066 0.0294208
-1.67969 0.0293763
-1.67871 0.0293318
-1.67773 0.0292872
-1.67676 0.0292426
-1.67578 0.029198
-1.6748 0.0291535
-1.67383 0.0291091
-1.67285 0.0290648
-1.67188 0.0290207
-1.6709 0.0289767
-1.66992 0.028933
-1.66895 0.0288894
-1.66797 0.0288462
-1.66699 0.0288032
-1.66602 0.0287604
-1.66504 0.028718
-1.66406 0.0286759
-1.66309 0.0286341
-1.66211 0.0285926
-1.66113 0.0285515
-1.66016 0.0285108
-1.65918 0.0284704
-1.6582 0.0284304
-1.65723 0.0283908
-1.65625 0.0283516
-1.65527 0.0283127
-1.6543 0.0282743
-1.65332 0.0282362
-1.65234 0.0281986
-1.65137 0.0281614
-1.65039 0.0281246
-1.64941 0.0280882
-1.64844 0.0280522
-1.64746 0.0280166
-1.64648 0.0279814
-1.64551 0.0279466
-1.64453 0.0279123
-1.64355 0.0278783
-1.64258 0.0278448
-1.6416 0.0278116
-1.64062 0.0277789
-1.63965 0.0277465
-1.63867 0.0277146
-1.6377 0.027683
-1.63672 0.0276518
-1.63574 0.0276211
-1.63477 0.0275906
-1.63379 0.0275606
-1.63281 0.0275309
-1.63184 0.0275016
-1.63086 0.0274727
-1.62988 0.0274441
-1.62891 0.0274159
-1.62793 0.027388
-1.62695 0.0273605
-1.62598 0.0273333
-1.625 0.0273064
-1.62402 0.0272799
-1.62305 0.0272537
-1.62207 0.0272278
-1.62109 0.0272022
-1.62012 0.0271769
-1.61914 0.0271519
-1.61816 0.0271272
-1.61719 0.0271029
-1.61621 0.0270788
-1.61523 0.0270549
-1.61426 0.0270314
-1.61328 0.0270081
-1.6123 0.0269851
-1.61133 0.0269624
-1.61035 0.0269399
-1.60938 0.0269177
-1.6084 0.0268957
-1.60742 0.026874
-1.60645 0.0268525
-1.60547 0.0268312
-1.60449 0.0268102
-1.60352 0.0267893
-1.60254 0.0267688
-1.60156 0.0267484
-1.60059 0.0267282
-1.59961 0.0267083
-1.59863 0.0266885
-1.59766 0.026669
-1.59668 0.0266496
-1.5957 0.0266305
-1.59473 0.0266115
-1.59375 0.0265928
-1.59277 0.0265742
-1.5918 0.0265557
-1.59082 0.0265375
-1.58984 0.0265194
-1.58887 0.0265015
-1.58789 0.0264838
-1.58691 0.0264662
-1.58594 0.0264488
-1.58496 0.0264316
-1.58398 0.0264145
-1.58301 0.0263975
-1.58203 0.0263807
-1.58105 0.0263641
-1.58008 0.0263476
-1.5791 0.0263312
-1.57812 0.026315
-1.57715 0.0262989
-1.57617 0.0262829
-1.5752 0.0262671
-1.57422 0.0262514
-1.57324 0.0262358
-1.57227 0.0262204
-1.57129 0.0262051
-1.57031 0.0261899
-1.56934 0.0261748
-1.56836 0.0261599
-1.56738 0.026145
-1.56641 0.0261303
-1.56543 0.0261157
-1.56445 0.0261012
-1.56348 0.0260868
-1.5625 0.0260725
-1.56152 0.0260583
-1.56055 0.0260442
-1.55957 0.0260302
-1.55859 0.0260164
-1.55762 0.0260026
-1.55664 0.0259889
-1.55566 0.0259754
-1.55469 0.0259619
-1.55371 0.0259485
-1.55273 0.0259352
-1.55176 0.025922
-1.55078 0.0259089
-1.5498 0.0258959
-1.54883 0.025883
-1.54785 0.0258702
-1.54688 0.0258574
-1.5459 0.0258448
-1.54492 0.0258322
-1.54395 0.0258197
-1.54297 0.0258073
-1.54199 0.025795
-1.54102 0.0257828
-1.54004 0.0257707
-1.53906 0.0257586
-1.53809 0.0257466
-1.53711 0.0257347
-1.53613 0.0257229
-1.53516 0.0257112
-1.53418 0.0256995
-1.5332 0.0256879
-1.53223 0.0256764
-1.53125 0.025665
-1.53027 0.0256536
-1.5293 0.0256423
-1.52832 0.0256311
-1.52734 0.02562
-1.52637 0.0256089
-1.52539 0.025598
-1.52441 0.0255871
-1.52344 0.0255762
-1.52246 0.0255655
-1.52148 0.0255548
-1.52051 0.0255441
-1.51953 0.0255336
-1.51855 0.0255231
-1.51758 0.0255127
-1.5166 0.0255023
-1.51562 0.0254921
-1.51465 0.0254819
-1.51367 0.0254717
-1.5127 0.0254617
-1.51172 0.0254517
-1.51074 0.0254417
-1.50977 0.0254319
-1.50879 0.0254221
-1.50781 0.0254123
-1.50684 0.0254027
-1.50586 0.0253931
-1.50488 0.0253835
-1.50391 0.025374
-1.50293 0.0253646
-1.50195 0.0253553
-1.50098 0.025346
-1.5 0.0253368
-1.49902 0.0253277
-1.49805 0.0253186
-1.49707 0.0253095
-1.49609 0.0253006
-1.49512 0.0252917
-1.49414 0.0252828
-1.49316 0.0252741
-1.49219 0.0252654
