# ---$x/\lambda_\mathrm{l}$---	---$z/\lambda_\mathrm{l}$---
0 0.0219373
0.000976562 0.0220149
0.00195312 0.0220863
0.00292969 0.0221495
0.00390625 0.0222024
0.00488281 0.0222413
0.00585938 0.0222616
0.00683594 0.0222456
0.0078125 0.0221451
0.00878906 0.0220486
0.00976562 0.0220089
0.0107422 0.0220347
0.0117188 0.0221121
0.0126953 0.0222138
0.0136719 0.0223138
0.0146484 0.0223978
0.015625 0.0224691
0.0166016 0.0225443
0.0175781 0.022645
0.0185547 0.0227761
0.0195312 0.0228851
0.0205078 0.0229817
0.0214844 0.0230693
0.0224609 0.0231473
0.0234375 0.0232162
0.0244141 0.0232757
0.0253906 0.0233262
0.0263672 0.0233681
0.0273438 0.0234017
0.0283203 0.0234272
0.0292969 0.023445
0.0302734 0.023455
0.03125 0.0234567
0.0322266 0.0234496
0.0332031 0.0234325
0.0341797 0.0234043
0.0351562 0.0233639
0.0361328 0.0233112
0.0371094 0.0232428
0.0380859 0.0231443
0.0390625 0.0230769
0.0400391 0.0230522
0.0410156 0.0230702
0.0419922 0.0231247
0.0429688 0.0231916
0.0439453 0.0232484
0.0449219 0.0233058
0.0458984 0.0233593
0.046875 0.0234094
0.0478516 0.0234572
0.0488281 0.0235011
0.0498047 0.0235406
0.0507812 0.0235757
0.0517578 0.0236062
0.0527344 0.0236319
0.0537109 0.023653
0.0546875 0.0236697
0.0556641 0.0236824
0.0566406 0.0236918
0.0576172 0.023699
0.0585938 0.0237057
0.0595703 0.0237151
0.0605469 0.0237293
0.0615234 0.0237489
0.0625 0.0237726
0.0634766 0.0237989
0.0644531 0.0238272
0.0654297 0.0238571
0.0664062 0.0238883
0.0673828 0.0239204
0.0683594 0.0239534
0.0693359 0.023987
0.0703125 0.0240212
0.0712891 0.0240558
0.0722656 0.0240909
0.0732422 0.0241264
0.0742188 0.0241619
0.0751953 0.0241975
0.0761719 0.0242328
0.0771484 0.0242674
0.078125 0.0243011
0.0791016 0.0243336
0.0800781 0.0243645
0.0810547 0.0243938
0.0820312 0.0244211
0.0830078 0.0244466
0.0839844 0.02447
0.0849609 0.0244914
0.0859375 0.0245109
0.0869141 0.0245285
0.0878906 0.0245445
