# ---X---	---$u_\mathrm{z}$---
-5.10873 0.5
-5.10873 0.5
-5.09875 0.498049
-5.08877 0.496101
-5.0788 0.494158
-5.06882 0.492218
-5.05884 0.490282
-5.04886 0.48835
-5.03888 0.486422
-5.02891 0.484497
-5.01893 0.482576
-5.00895 0.480659
-4.99897 0.478746
-4.98899 0.476837
-4.97902 0.474932
-4.96904 0.47303
-4.95906 0.471132
-4.94908 0.469238
-4.9391 0.467348
-4.92913 0.465462
-4.91915 0.463579
-4.90917 0.4617
-4.89919 0.459826
-4.88921 0.457954
-4.87924 0.456087
-4.86926 0.454224
-4.85928 0.452364
-4.8493 0.450508
-4.83932 0.448656
-4.82935 0.446808
-4.81937 0.444963
-4.80939 0.443123
-4.79941 0.441286
-4.78943 0.439453
-4.77946 0.437624
-4.76948 0.435799
-4.7595 0.433977
-4.74952 0.432159
-4.73954 0.430346
-4.72957 0.428535
-4.71959 0.426729
-4.70961 0.424927
-4.69963 0.423128
-4.68965 0.421333
-4.67968 0.419542
-4.6697 0.417755
-4.65972 0.415972
-4.64974 0.414192
-4.63976 0.412416
-4.62979 0.410645
-4.61981 0.408876
-4.60983 0.407112
-4.59985 0.405352
-4.58987 0.403595
-4.5799 0.401842
-4.56992 0.400093
-4.55994 0.398348
-4.54996 0.396606
-4.53998 0.394869
-4.53001 0.393135
-4.52003 0.391405
-4.51005 0.389679
-4.50007 0.387957
-4.49009 0.386238
-4.48012 0.384523
-4.47014 0.382812
-4.46016 0.381105
-4.45018 0.379402
-4.4402 0.377703
-4.43023 0.376007
-4.42025 0.374315
-4.41027 0.372627
-4.40029 0.370943
-4.39031 0.369263
-4.38034 0.367586
-4.37036 0.365913
-4.36038 0.364244
-4.3504 0.362579
-4.34042 0.360918
-4.33045 0.359261
-4.32047 0.357607
-4.31049 0.355957
-4.30051 0.354311
-4.29053 0.352669
-4.28056 0.35103
-4.27058 0.349396
-4.2606 0.347765
-4.25062 0.346138
-4.24064 0.344515
-4.23067 0.342896
-4.22069 0.34128
-4.21071 0.339668
-4.20073 0.33806
-4.19075 0.336456
-4.18078 0.334856
-4.1708 0.33326
-4.16082 0.331667
-4.15084 0.330078
-4.14086 0.328493
-4.13089 0.326912
-4.12091 0.325335
-4.11093 0.323761
-4.10095 0.322191
-4.09097 0.320625
-4.081 0.319063
-4.07102 0.317505
-4.06104 0.31595
-4.05106 0.3144
-4.04108 0.312853
-4.03111 0.31131
-4.02113 0.309771
-4.01115 0.308235
-4.00117 0.306704
-3.99119 0.305176
-3.98122 0.303652
-3.97124 0.302132
-3.96126 0.300615
-3.95128 0.299103
-3.94131 0.297594
-3.93133 0.296089
-3.92135 0.294588
-3.91137 0.293091
-3.90139 0.291597
-3.89142 0.290108
-3.88144 0.288622
-3.87146 0.28714
-3.86148 0.285662
-3.8515 0.284187
-3.84153 0.282717
-3.83155 0.28125
-3.82157 0.279787
-3.81159 0.278328
-3.80161 0.276873
-3.79164 0.275421
-3.78166 0.273973
-3.77168 0.27253
-3.7617 0.27109
-3.75172 0.269653
-3.74175 0.268221
-3.73177 0.266792
-3.72179 0.265368
-3.71181 0.263947
-3.70183 0.262529
-3.69186 0.261116
-3.68188 0.259706
-3.6719 0.258301
-3.66192 0.256899
-3.65194 0.255501
-3.64197 0.254107
-3.63199 0.252716
-3.62201 0.251329
-3.61203 0.249947
-3.60205 0.248568
-3.59208 0.247192
-3.5821 0.245821
-3.57212 0.244453
-3.56214 0.24309
-3.55216 0.24173
-3.54219 0.240374
-3.53221 0.239021
-3.52223 0.237673
-3.51225 0.236328
-3.50227 0.234987
-3.4923 0.23365
-3.48232 0.232317
-3.47234 0.230988
-3.46236 0.229662
-3.45238 0.22834
-3.44241 0.227022
-3.43243 0.225708
-3.42245 0.224398
-3.41247 0.223091
-3.40249 0.221788
-3.39252 0.22049
-3.38254 0.219194
-3.37256 0.217903
-3.36258 0.216616
-3.3526 0.215332
-3.34263 0.214052
-3.33265 0.212776
-3.32267 0.211504
-3.31269 0.210236
-3.30271 0.208971
-3.29274 0.20771
-3.28276 0.206453
-3.27278 0.2052
-3.2628 0.203951
-3.25282 0.202705
-3.24285 0.201464
-3.23287 0.200226
-3.22289 0.198992
-3.21291 0.197762
-3.20293 0.196535
-3.19296 0.195312
-3.18298 0.194094
-3.173 0.192879
-3.16302 0.191668
-3.15304 0.19046
-3.14307 0.189257
-3.13309 0.188057
-3.12311 0.186861
-3.11313 0.185669
-3.10315 0.184481
-3.09318 0.183296
-3.0832 0.182116
-3.07322 0.180939
-3.06324 0.179766
-3.05326 0.178596
-3.04329 0.177431
-3.03331 0.17627
-3.02333 0.175112
-3.01335 0.173958
-3.00337 0.172808
-2.9934 0.171661
-2.98342 0.170519
-2.97344 0.16938
-2.96346 0.168245
-2.95348 0.167114
-2.94351 0.165987
-2.93353 0.164864
-2.92355 0.163744
-2.91357 0.162628
-2.90359 0.161516
-2.89362 0.160408
-2.88364 0.159304
-2.87366 0.158203
-2.86368 0.157106
-2.8537 0.156013
-2.84373 0.154924
-2.83375 0.153839
-2.82377 0.152758
-2.81379 0.15168
-2.80381 0.150606
-2.79384 0.149536
-2.78386 0.14847
-2.77388 0.147408
-2.7639 0.146349
-2.75392 0.145294
-2.74395 0.144243
-2.73397 0.143196
-2.72399 0.142153
-2.71401 0.141113
-2.70403 0.140078
-2.69406 0.139046
-2.68408 0.138018
-2.6741 0.136993
-2.66412 0.135973
-2.65414 0.134956
-2.64417 0.133944
-2.63419 0.132935
-2.62421 0.131929
-2.61423 0.130928
-2.60425 0.12993
-2.59428 0.128937
-2.5843 0.127947
-2.57432 0.126961
-2.56434 0.125978
-2.55436 0.125
-2.54439 0.124025
-2.53441 0.123055
-2.52443 0.122087
-2.51445 0.121124
-2.50447 0.120165
-2.4945 0.119209
-2.48452 0.118258
-2.47454 0.11731
-2.46456 0.116365
-2.45458 0.115425
-2.44461 0.114489
-2.43463 0.113556
-2.42465 0.112627
-2.41467 0.111702
-2.40469 0.110781
-2.39472 0.109863
-2.38474 0.10895
-2.37476 0.10804
-2.36478 0.107134
-2.35481 0.106232
-2.34483 0.105333
-2.33485 0.104439
-2.32487 0.103548
-2.31489 0.102661
-2.30492 0.101778
-2.29494 0.100899
-2.28496 0.100023
-2.27498 0.0991516
-2.265 0.0982838
-2.25503 0.0974197
-2.24505 0.0965595
-2.23507 0.0957031
-2.22509 0.0948505
-2.21511 0.0940018
-2.20514 0.0931568
-2.19516 0.0923157
-2.18518 0.0914783
-2.1752 0.0906448
-2.16522 0.0898151
-2.15525 0.0889893
-2.14527 0.0881672
-2.13529 0.0873489
-2.12531 0.0865345
-2.11533 0.0857239
-2.10536 0.0849171
-2.09538 0.0841141
-2.0854 0.0833149
-2.07542 0.0825195
-2.06544 0.081728
-2.05547 0.0809402
-2.04549 0.0801563
-2.03551 0.0793762
-2.02553 0.0785999
-2.01555 0.0778275
-2.00558 0.0770588
-1.9956 0.0762939
-1.98562 0.0755329
-1.97564 0.0747757
-1.96566 0.0740223
-1.95569 0.0732727
-1.94571 0.0725269
-1.93573 0.071785
-1.92575 0.0710468
-1.91577 0.0703125
-1.9058 0.069582
-1.89582 0.0688553
-1.88584 0.0681324
-1.87586 0.0674133
-1.86588 0.0666981
-1.85591 0.0659866
-1.84593 0.065279
-1.83595 0.0645752
-1.82597 0.0638752
-1.81599 0.063179
-1.80602 0.0624866
-1.79604 0.0617981
-1.78606 0.0611134
-1.77608 0.0604324
-1.7661 0.0597553
-1.75613 0.059082
-1.74615 0.0584126
-1.73617 0.0577469
-1.72619 0.057085
-1.71621 0.056427
-1.70624 0.0557728
-1.69626 0.0551224
-1.68628 0.0544758
-1.6763 0.053833
-1.66632 0.053194
-1.65635 0.0525589
-1.64637 0.0519276
-1.63639 0.0513
-1.62641 0.0506763
-1.61643 0.0500565
-1.60646 0.0494404
-1.59648 0.0488281
-1.5865 0.0482197
-1.57652 0.0476151
-1.56654 0.0470142
-1.55657 0.0464172
-1.54659 0.0458241
-1.53661 0.0452347
-1.52663 0.0446491
-1.51665 0.0440674
-1.50668 0.0434895
-1.4967 0.0429153
-1.48672 0.042345
-1.47674 0.0417786
-1.46676 0.0412159
-1.45679 0.040657
-1.44681 0.040102
-1.43683 0.0395508
-1.42685 0.0390034
-1.41687 0.0384598
-1.4069 0.03792
-1.39692 0.037384
-1.38694 0.0368519
-1.37696 0.0363235
-1.36698 0.035799
-1.35701 0.0352783
-1.34703 0.0347614
-1.33705 0.0342484
-1.32707 0.0337391
-1.31709 0.0332336
-1.30712 0.032732
-1.29714 0.0322342
-1.28716 0.0317402
-1.27718 0.03125
-1.2672 0.0307636
-1.25723 0.0302811
-1.24725 0.0298023
-1.23727 0.0293274
-1.22729 0.0288563
-1.21731 0.028389
-1.20734 0.0279255
-1.19736 0.0274658
-1.18738 0.02701
-1.1774 0.0265579
-1.16742 0.0261097
-1.15745 0.0256653
-1.14747 0.0252247
-1.13749 0.0247879
-1.12751 0.0243549
-1.11753 0.0239258
-1.10756 0.0235004
-1.09758 0.0230789
-1.0876 0.0226612
-1.07762 0.0222473
-1.06764 0.0218372
-1.05767 0.021431
-1.04769 0.0210285
-1.03771 0.0206299
-1.02773 0.0202351
-1.01775 0.0198441
-1.00778 0.0194569
-0.997799 0.0190735
-0.987821 0.0186939
-0.977843 0.0183182
-0.967865 0.0179462
-0.957887 0.0175781
-0.947909 0.0172138
-0.937931 0.0168533
-0.927953 0.0164967
-0.917975 0.0161438
-0.907997 0.0157948
-0.898019 0.0154495
-0.888041 0.0151081
-0.878063 0.0147705
-0.868085 0.0144367
-0.858107 0.0141068
-0.848129 0.0137806
-0.838151 0.0134583
-0.828173 0.0131397
-0.818195 0.012825
-0.808217 0.0125141
-0.798239 0.012207
-0.788261 0.0119038
-0.778283 0.0116043
-0.768305 0.0113087
-0.758327 0.0110168
-0.748349 0.0107288
-0.738371 0.0104446
-0.728393 0.0101643
-0.718415 0.0098877
-0.708437 0.00961494
-0.698459 0.00934601
-0.688481 0.00908089
-0.678503 0.00881958
-0.668525 0.00856209
-0.658547 0.00830841
-0.648569 0.00805855
-0.638591 0.0078125
-0.628613 0.00757027
-0.618635 0.00733185
-0.608657 0.00709724
-0.598679 0.00686646
-0.588701 0.00663948
