# ---X---	---$\sigma/E^\mathrm{*}$---
-5.10873 7.22784e-09
-5.09875 7.22793e-09
-5.08877 7.2283e-09
-5.0788 7.22878e-09
-5.06882 7.22971e-09
-5.05884 7.23083e-09
-5.04886 7.23214e-09
-5.03888 7.23362e-09
-5.02891 7.23533e-09
-5.01893 7.23749e-09
-5.00895 7.23963e-09
-4.99897 7.24197e-09
-4.98899 7.24477e-09
-4.97902 7.24779e-09
-4.96904 7.251e-09
-4.95906 7.25446e-09
-4.94908 7.2581e-09
-4.9391 7.26196e-09
-4.92913 7.26604e-09
-4.91915 7.27057e-09
-4.90917 7.27508e-09
-4.89919 7.28005e-09
-4.88921 7.28524e-09
-4.87924 7.29038e-09
-4.86926 7.29625e-09
-4.85928 7.30208e-09
-4.8493 7.30811e-09
-4.83932 7.31463e-09
-4.82935 7.32109e-09
-4.81937 7.32778e-09
-4.80939 7.33495e-09
-4.79941 7.34259e-09
-4.78943 7.35016e-09
-4.77946 7.35875e-09
-4.76948 7.36551e-09
-4.7595 7.37427e-09
-4.74952 7.38301e-09
-4.73954 7.39169e-09
-4.72957 7.40288e-09
-4.71959 7.409e-09
-4.70961 7.42013e-09
-4.69963 7.43122e-09
-4.68965 7.43977e-09
-4.67968 7.45081e-09
-4.6697 7.46183e-09
-4.65972 7.47281e-09
-4.64974 7.48379e-09
-4.63976 7.49471e-09
-4.62979 7.50817e-09
-4.61981 7.52159e-09
-4.60983 7.52993e-09
-4.59985 7.5433e-09
-4.58987 7.5592e-09
-4.5799 7.57252e-09
-4.56992 7.5833e-09
-4.55994 7.59659e-09
-4.54996 7.61497e-09
-4.53998 7.62822e-09
-4.53001 7.64146e-09
-4.52003 7.65723e-09
-4.51005 7.673e-09
-4.50007 7.68874e-09
-4.49009 7.70194e-09
-4.48012 7.72019e-09
-4.47014 7.73846e-09
-4.46016 7.75417e-09
-4.45018 7.76984e-09
-4.4402 7.78807e-09
-4.43023 7.80888e-09
-4.42025 7.82456e-09
-4.41027 7.84278e-09
-4.40029 7.86358e-09
-4.39031 7.88178e-09
-4.38034 7.9e-09
-4.37036 7.92079e-09
-4.36038 7.94159e-09
