# ---X---	---$\sigma/E^\mathrm{*}$---
-5.10873 6.43079e-05
-5.09875 6.43081e-05
-5.08877 6.43093e-05
-5.0788 6.43105e-05
-5.06882 6.43136e-05
-5.05884 6.43171e-05
-5.04886 6.43211e-05
-5.03888 6.43255e-05
-5.02891 6.43306e-05
-5.01893 6.43375e-05
-5.00895 6.43438e-05
-4.99897 6.43506e-05
-4.98899 6.43593e-05
-4.97902 6.43686e-05
-4.96904 6.43784e-05
-4.95906 6.4389e-05
-4.94908 6.44e-05
-4.9391 6.44116e-05
-4.92913 6.44238e-05
-4.91915 6.44378e-05
-4.90917 6.44512e-05
-4.89919 6.44665e-05
-4.88921 6.44823e-05
-4.87924 6.44974e-05
-4.86926 6.45157e-05
-4.85928 6.45332e-05
-4.8493 6.45513e-05
-4.83932 6.45713e-05
-4.82935 6.45905e-05
-4.81937 6.46103e-05
-4.80939 6.4632e-05
-4.79941 6.46556e-05
-4.78943 6.46783e-05
-4.77946 6.47056e-05
-4.76948 6.4723e-05
-4.7595 6.47501e-05
-4.74952 6.47765e-05
-4.73954 6.4802e-05
-4.72957 6.48398e-05
-4.71959 6.4851e-05
-4.70961 6.48873e-05
-4.69963 6.49228e-05
-4.68965 6.49447e-05
-4.67968 6.49787e-05
-4.6697 6.5012e-05
-4.65972 6.50445e-05
-4.64974 6.50763e-05
-4.63976 6.51072e-05
-4.62979 6.51504e-05
-4.61981 6.51928e-05
-4.60983 6.52086e-05
-4.59985 6.52494e-05
-4.58987 6.53024e-05
-4.5799 6.53416e-05
-4.56992 6.53672e-05
-4.55994 6.54049e-05
-4.54996 6.54677e-05
-4.53998 6.55038e-05
-4.53001 6.55391e-05
-4.52003 6.55866e-05
-4.51005 6.56333e-05
-4.50007 6.56791e-05
-4.49009 6.57113e-05
-4.48012 6.57683e-05
-4.47014 6.58247e-05
-4.46016 6.58673e-05
-4.45018 6.5909e-05
-4.4402 6.59628e-05
-4.43023 6.60288e-05
-4.42025 6.60681e-05
-4.41027 6.61194e-05
-4.40029 6.61828e-05
-4.39031 6.62324e-05
-4.38034 6.62812e-05
-4.37036 6.6342e-05
