# ---$r/a_\mathrm{H}$---	---$\mathbf{v}(\sigma_\mathrm{I}^\mathrm{max})$---
-5.10873 1
-5.09875 1
-5.08877 1
-5.0788 1
-5.06882 1
-5.05884 1
-5.04886 1
-5.03888 1
-5.02891 1
-5.01893 1
-5.00895 1
-4.99897 1
-4.98899 1
-4.97902 1
-4.96904 1
-4.95906 1
-4.94908 1
-4.9391 1
-4.92913 1
-4.91915 1
-4.90917 1
-4.89919 1
-4.88921 1
-4.87924 1
-4.86926 1
-4.85928 1
-4.8493 1
-4.83932 1
-4.82935 1
-4.81937 1
-4.80939 1
-4.79941 1
-4.78943 1
-4.77946 1
-4.76948 1
-4.7595 1
-4.74952 1
-4.73954 1
-4.72957 1
-4.71959 1
-4.70961 1
-4.69963 1
-4.68965 1
-4.67968 1
-4.6697 1
-4.65972 1
-4.64974 1
-4.63976 1
-4.62979 1
-4.61981 1
-4.60983 1
-4.59985 1
-4.58987 1
-4.5799 1
-4.56992 1
-4.55994 1
-4.54996 1
-4.53998 1
-4.53001 1
-4.52003 1
-4.51005 1
-4.50007 1
-4.49009 1
-4.48012 1
-4.47014 1
-4.46016 1
-4.45018 1
-4.4402 1
-4.43023 1
-4.42025 1
-4.41027 1
-4.40029 1
-4.39031 1
-4.38034 1
-4.37036 1
-4.36038 1
-4.3504 1
-4.34042 0.999999
-4.33045 0.999999
-4.32047 0.999999
-4.31049 0.999999
-4.30051 0.999999
-4.29053 0.999999
-4.28056 0.999999
-4.27058 0.999999
-4.2606 0.999999
-4.25062 0.999999
-4.24064 0.999999
-4.23067 0.999999
-4.22069 0.999999
-4.21071 0.999999
-4.20073 0.999999
-4.19075 0.999999
-4.18078 0.999999
-4.1708 0.999999
-4.16082 0.999999
-4.15084 0.999999
-4.14086 0.999999
-4.13089 0.999999
-4.12091 0.999999
-4.11093 0.999999
-4.10095 0.999999
-4.09097 0.999999
-4.081 0.999999
-4.07102 0.999999
-4.06104 0.999999
-4.05106 0.999999
-4.04108 0.999999
-4.03111 0.999999
-4.02113 0.999999
-4.01115 0.999999
-4.00117 0.999999
-3.99119 0.999999
-3.98122 0.999999
-3.97124 0.999999
-3.96126 0.999999
-3.95128 0.999999
-3.94131 0.999999
-3.93133 0.999999
-3.92135 0.999999
-3.91137 0.999999
-3.90139 0.999999
-3.89142 0.999999
-3.88144 0.999999
-3.87146 0.999999
-3.86148 0.999999
-3.8515 0.999999
-3.84153 0.999999
-3.83155 0.999999
-3.82157 0.999999
-3.81159 0.999999
-3.80161 0.999999
-3.79164 0.999999
-3.78166 0.999998
-3.77168 0.999999
-3.7617 0.999998
-3.75172 0.999998
-3.74175 0.999998
-3.73177 0.999998
-3.72179 0.999998
-3.71181 0.999998
-3.70183 0.999998
-3.69186 0.999998
-3.68188 0.999998
-3.6719 0.999998
-3.66192 0.999998
-3.65194 0.999998
-3.64197 0.999998
-3.63199 0.999998
-3.62201 0.999998
-3.61203 0.999998
-3.60205 0.999998
-3.59208 0.999998
-3.5821 0.999998
-3.57212 0.999998
-3.56214 0.999998
-3.55216 0.999998
-3.54219 0.999998
-3.53221 0.999998
-3.52223 0.999998
-3.51225 0.999998
-3.50227 0.999998
-3.4923 0.999998
-3.48232 0.999998
-3.47234 0.999998
-3.46236 0.999998
-3.45238 0.999998
-3.44241 0.999998
-3.43243 0.999998
-3.42245 0.999998
-3.41247 0.999997
-3.40249 0.999997
-3.39252 0.999997
-3.38254 0.999997
-3.37256 0.999997
-3.36258 0.999997
-3.3526 0.999997
-3.34263 0.999997
-3.33265 0.999997
-3.32267 0.999997
-3.31269 0.999997
-3.30271 0.999997
-3.29274 0.999997
-3.28276 0.999997
-3.27278 0.999997
-3.2628 0.999997
-3.25282 0.999997
-3.24285 0.999997
-3.23287 0.999997
-3.22289 0.999997
-3.21291 0.999997
-3.20293 0.999997
-3.19296 0.999997
-3.18298 0.999997
-3.173 0.999997
-3.16302 0.999996
-3.15304 0.999996
-3.14307 0.999996
-3.13309 0.999996
-3.12311 0.999996
-3.11313 0.999996
-3.10315 0.999996
-3.09318 0.999996
-3.0832 0.999996
-3.07322 0.999996
-3.06324 0.999996
-3.05326 0.999996
-3.04329 0.999996
-3.03331 0.999996
-3.02333 0.999996
-3.01335 0.999996
-3.00337 0.999996
-2.9934 0.999996
-2.98342 0.999996
-2.97344 0.999996
-2.96346 0.999996
-2.95348 0.999996
-2.94351 0.999996
-2.93353 0.999996
-2.92355 0.999996
-2.91357 0.999995
-2.90359 0.999995
-2.89362 0.999995
-2.88364 0.999995
-2.87366 0.999995
-2.86368 0.999995
-2.8537 0.999995
-2.84373 0.999995
-2.83375 0.999995
-2.82377 0.999995
-2.81379 0.999995
-2.80381 0.999995
-2.79384 0.999995
-2.78386 0.999995
-2.77388 0.999995
-2.7639 0.999995
-2.75392 0.999995
-2.74395 0.999995
-2.73397 0.999995
-2.72399 0.999994
-2.71401 0.999994
-2.70403 0.999994
-2.69406 0.999994
-2.68408 0.999994
-2.6741 0.999994
-2.66412 0.999994
-2.65414 0.999994
-2.64417 0.999994
-2.63419 0.999994
-2.62421 0.999994
-2.61423 0.999994
-2.60425 0.999994
-2.59428 0.999994
-2.5843 0.999994
-2.57432 0.999994
-2.56434 0.999993
-2.55436 0.999993
-2.54439 0.999993
-2.53441 0.999993
-2.52443 0.999993
-2.51445 0.999994
-2.50447 0.999993
-2.4945 0.999993
-2.48452 0.999993
-2.47454 0.999993
-2.46456 0.999993
-2.45458 0.999993
-2.44461 0.999992
-2.43463 0.999992
-2.42465 0.999992
-2.41467 0.999992
-2.40469 0.999992
-2.39472 0.999992
-2.38474 0.999992
-2.37476 0.999992
-2.36478 0.999992
-2.35481 0.999991
-2.34483 0.999992
-2.33485 0.999992
-2.32487 0.999992
-2.31489 0.999992
-2.30492 0.999992
-2.29494 0.999992
-2.28496 0.999992
-2.27498 0.999992
-2.265 0.999991
-2.25503 0.999991
-2.24505 0.999991
-2.23507 0.99999
-2.22509 0.999991
-2.21511 0.99999
-2.20514 0.999991
-2.19516 0.99999
-2.18518 0.99999
-2.1752 0.99999
-2.16522 0.99999
-2.15525 0.99999
-2.14527 0.99999
-2.13529 0.99999
-2.12531 0.99999
-2.11533 0.99999
-2.10536 0.999989
-2.09538 0.999989
-2.0854 0.999989
-2.07542 0.999989
-2.06544 0.999988
-2.05547 0.999988
-2.04549 0.999989
-2.03551 0.999989
-2.02553 0.999989
-2.01555 0.999989
-2.00558 0.999989
-1.9956 0.999988
-1.98562 0.999988
-1.97564 0.999988
-1.96566 0.999988
-1.95569 0.999987
-1.94571 0.999988
-1.93573 0.999987
-1.92575 0.999987
-1.91577 0.999988
-1.9058 0.999987
-1.89582 0.999987
-1.88584 0.999986
-1.87586 0.999986
-1.86588 0.999987
-1.85591 0.999986
-1.84593 0.999986
-1.83595 0.999985
-1.82597 0.999985
-1.81599 0.999985
-1.80602 0.999986
-1.79604 0.999985
-1.78606 0.999985
-1.77608 0.999984
-1.7661 0.999984
-1.75613 0.999985
-1.74615 0.999985
-1.73617 0.999984
-1.72619 0.999984
-1.71621 0.999984
-1.70624 0.999983
-1.69626 0.999983
-1.68628 0.999983
-1.6763 0.999983
-1.66632 0.999983
-1.65635 0.999983
-1.64637 0.999982
-1.63639 0.999982
-1.62641 0.999982
-1.61643 0.999981
-1.60646 0.999981
-1.59648 0.999981
-1.5865 0.99998
-1.57652 0.999981
-1.56654 0.99998
-1.55657 0.99998
-1.54659 0.99998
-1.53661 0.99998
-1.52663 0.999979
-1.51665 0.999979
-1.50668 0.999978
-1.4967 0.999979
-1.48672 0.999978
-1.47674 0.999978
-1.46676 0.999977
-1.45679 0.999977
-1.44681 0.999976
-1.43683 0.999977
-1.42685 0.999976
-1.41687 0.999975
-1.4069 0.999975
-1.39692 0.999975
-1.38694 0.999975
-1.37696 0.999974
-1.36698 0.999974
-1.35701 0.999973
-1.34703 0.999973
-1.33705 0.999972
-1.32707 0.999972
-1.31709 0.999972
-1.30712 0.999971
-1.29714 0.999971
-1.28716 0.99997
-1.27718 0.99997
-1.2672 0.999969
-1.25723 0.999969
-1.24725 0.999968
-1.23727 0.999968
-1.22729 0.999967
-1.21731 0.999967
-1.20734 0.999966
-1.19736 0.999965
-1.18738 0.999965
-1.1774 0.999964
-1.16742 0.999964
-1.15745 0.999963
-1.14747 0.999962
-1.13749 0.999962
-1.12751 0.999961
-1.11753 0.99996
-1.10756 0.99996
-1.09758 0.999959
-1.0876 0.999958
-1.07762 0.999958
-1.06764 0.999957
-1.05767 0.999956
-1.04769 0.999955
-1.03771 0.999955
-1.02773 0.999954
-1.01775 0.999953
-1.00778 0.99995
-0.997799 0.999947
-0.987821 0.999948
-0.977843 0.999948
-0.967865 0.999947
-0.957887 0.999946
-0.947909 0.999945
-0.937931 0.999944
-0.927953 0.999942
-0.917975 0.999941
-0.907997 0.99994
-0.898019 0.999939
-0.888041 0.999937
-0.878063 0.999936
-0.868085 0.999935
-0.858107 0.999934
-0.848129 0.999931
-0.838151 0.999929
-0.828173 0.999928
-0.818195 0.999926
-0.808217 0.999924
-0.798239 0.999923
-0.788261 0.999921
-0.778283 0.99992
-0.768305 0.999916
-0.758327 0.999913
-0.748349 0.999913
-0.738371 0.999909
-0.728393 0.999906
-0.718415 0.999904
-0.708437 0.999903
-0.698459 0.999898
-0.688481 0.999896
-0.678503 0.99989
-0.668525 0.99989
-0.658547 0.999884
-0.648569 0.999881
-0.638591 0.999882
-0.628613 0.999875
-0.618635 0.999868
-0.608657 0.999865
-0.598679 0.999865
-0.588701 0.999858
-0.578723 0.999854
-0.568745 0.999846
-0.558767 0.999842
-0.548789 0.999838
-0.538811 0.999828
-0.528833 0.999823
-0.518855 0.999812
-0.508877 0.999807
-0.498899 0.999802
-0.488921 0.999789
-0.478943 0.999783
-0.468965 0.999777
-0.458987 0.999771
-0.449009 0.999755
-0.439031 0.999737
-0.429053 0.999729
-0.419075 0.999709
-0.409097 0.9997
-0.399119 0.999692
-0.389142 0.999666
-0.379164 0.999656
-0.369186 0.999646
-0.359208 0.999615
-0.34923 0.999603
-0.339252 0.999566
-0.329274 0.999551
-0.319296 0.999539
-0.309318 0.999492
-0.29934 0.999438
-0.289362 0.999419
-0.279384 0.999351
-0.269406 0.999327
-0.259428 0.9993
-0.24945 0.999216
-0.239472 0.999114
-0.229494 0.999073
-0.219516 0.99894
-0.209538 0.998881
-0.19956 0.998765
-0.189582 0.998633
-0.179604 0.99848
-0.169626 0.998278
-0.159648 0.998058
-0.14967 0.997827
-0.139692 0.997478
-0.129714 0.997073
-0.119736 0.996583
-0.109758 0.995957
-0.0997799 0.995153
-0.0898019 0.993911
-0.0798239 0.992344
-0.0698459 0.990142
-0.0598679 0.986741
-0.0498899 0.980453
-0.0399119 0.970388
-0.029934 0.950264
-0.019956 0.890973
-0.00997799 0.707107
0 0
0.00997799 0.707107
0.019956 0.890973
0.029934 0.950264
0.0399119 0.970388
0.0498899 0.980453
0.0598679 0.986741
0.0698459 0.990142
0.0798239 0.992344
0.0898019 0.993911
0.0997799 0.995153
0.109758 0.995957
0.119736 0.996583
0.129714 0.997073
0.139692 0.997478
0.14967 0.997827
0.159648 0.998058
0.169626 0.998278
0.179604 0.99848
0.189582 0.998633
0.19956 0.998765
0.209538 0.998881
0.219516 0.99894
0.229494 0.999073
0.239472 0.999114
0.24945 0.999216
0.259428 0.9993
0.269406 0.999327
0.279384 0.999351
0.289362 0.999419
0.29934 0.999438
0.309318 0.999492
0.319296 0.999539
0.329274 0.999551
0.339252 0.999566
0.34923 0.999603
0.359208 0.999615
0.369186 0.999646
0.379164 0.999656
0.389142 0.999666
0.399119 0.999692
0.409097 0.9997
0.419075 0.999709
0.429053 0.999729
0.439031 0.999737
0.449009 0.999755
0.458987 0.999771
0.468965 0.999777
0.478943 0.999783
0.488921 0.999789
0.498899 0.999802
0.508877 0.999807
0.518855 0.999812
0.528833 0.999823
0.538811 0.999828
0.548789 0.999838
0.558767 0.999842
0.568745 0.999846
0.578723 0.999854
0.588701 0.999858
0.598679 0.999865
0.608657 0.999865
0.618635 0.999868
0.628613 0.999875
0.638591 0.999882
0.648569 0.999881
0.658547 0.999884
0.668525 0.99989
0.678503 0.99989
0.688481 0.999896
0.698459 0.999898
0.708437 0.999903
0.718415 0.999904
0.728393 0.999906
0.738371 0.999909
0.748349 0.999913
0.758327 0.999913
0.768305 0.999916
0.778283 0.99992
0.788261 0.999921
0.798239 0.999923
0.808217 0.999924
0.818195 0.999926
0.828173 0.999928
0.838151 0.999929
0.848129 0.999931
0.858107 0.999934
0.868085 0.999935
0.878063 0.999936
0.888041 0.999937
0.898019 0.999939
0.907997 0.99994
