# ---$r/a_\mathrm{H}$---	---$\mathbf{v}(\sigma_\mathrm{I}^\mathrm{max})$---
-5.10873 3.78271e-15
-5.09875 1.31251e-05
-5.08877 2.62493e-05
-5.0788 3.93715e-05
-5.06882 5.60691e-05
-5.05884 6.26228e-05
-5.04886 8.10998e-05
-5.03888 9.36067e-05
-5.02891 0.000106107
-5.01893 0.000118598
-5.00895 0.000131081
-4.99897 0.000143555
-4.98899 0.000156016
-4.97902 0.000175014
-4.96904 0.000186853
-4.95906 0.000199274
-4.94908 0.000206328
-4.9391 0.000218126
-4.92913 0.000237037
-4.91915 0.00024939
-4.90917 0.000261134
-4.89919 0.000274042
-4.88921 0.000292858
-4.87924 0.00030513
-4.86926 0.000317373
-4.85928 0.000329596
-4.8493 0.000335882
-4.83932 0.000353964
-4.82935 0.000366703
-4.81937 0.000379413
-4.80939 0.000396807
-4.79941 0.000403554
-4.78943 0.000422058
-4.77946 0.000451678
-4.76948 0.000457774
-4.7595 0.000464397
-4.74952 0.000471002
-4.73954 0.000477002
-4.72957 0.000482928
-4.71959 0.000548019
-4.70961 0.000554426
-4.69963 0.000560811
-4.68965 0.00056724
-4.67968 0.000573
-4.6697 0.000579319
-4.65972 0.000585617
-4.64974 0.00059131
-4.63976 0.000597562
-4.62979 0.000662183
-4.61981 0.00066824
-4.60983 0.000674427
-4.59985 0.000680433
-4.58987 0.000686335
-4.5799 0.000692864
-4.56992 0.000698871
-4.55994 0.000704772
-4.54996 0.000710485
-4.53998 0.000716331
-4.53001 0.00078038
-4.52003 0.000729001
-4.51005 0.000791589
-4.50007 0.000797717
-4.49009 0.000803907
-4.48012 0.000809882
-4.47014 0.000871797
-4.46016 0.000877709
-4.45018 0.000884152
-4.4402 0.000833084
-4.43023 0.000894949
-4.42025 0.000901291
-4.41027 0.000906936
-4.40029 0.000912445
-4.39031 0.000973762
-4.38034 0.000979759
-4.37036 0.000985054
-4.36038 0.00093545
-4.3504 0.000996645
-4.34042 0.00100183
-4.33045 0.00100753
-4.32047 0.00106805
-4.31049 0.00107345
-4.30051 0.00107892
-4.29053 0.00102973
-4.28056 0.00108963
-4.27058 0.00109475
-4.2606 0.00110049
-4.25062 0.00116033
-4.24064 0.00111118
-4.23067 0.00111625
-4.22069 0.00117547
-4.21071 0.00118129
-4.20073 0.00118599
-4.19075 0.00124457
-4.18078 0.00119674
-4.1708 0.00120118
-4.16082 0.0012599
-4.15084 0.00121231
-4.14086 0.00126976
-4.13089 0.00127442
-4.12091 0.00127943
-4.11093 0.00133737
-4.10095 0.00134176
-4.09097 0.00134648
-4.081 0.00135168
-4.07102 0.00135631
-4.06104 0.00141252
-4.05106 0.00141728
-4.04108 0.00142199
-4.03111 0.00137494
-4.02113 0.00143089
-4.01115 0.00143595
-4.00117 0.00149106
-3.99119 0.00149537
-3.98122 0.00149998
-3.97124 0.00150403
-3.96126 0.00150868
-3.95128 0.00151298
-3.94131 0.00151723
-3.93133 0.00152172
-3.92135 0.00157539
-3.91137 0.00157981
-3.90139 0.00163341
-3.89142 0.00158833
-3.88144 0.00159209
-3.87146 0.00159613
-3.86148 0.00164919
-3.8515 0.00165311
-3.84153 0.00170542
-3.83155 0.00166112
-3.82157 0.00171266
-3.81159 0.001717
-3.80161 0.00172063
-3.79164 0.00172404
-3.78166 0.00177515
-3.77168 0.00173179
-3.7617 0.00178245
-3.75172 0.00178593
-3.74175 0.00178981
-3.73177 0.00183945
-3.72179 0.00184258
-3.71181 0.0018464
-3.70183 0.00189593
-3.69186 0.00189853
-3.68188 0.00190199
-3.6719 0.00190504
-3.66192 0.00190819
-3.65194 0.00191191
-3.64197 0.00195967
-3.63199 0.00196229
-3.62201 0.00196529
-3.61203 0.00196867
-3.60205 0.00201574
-3.59208 0.00201845
-3.5821 0.00206512
-3.57212 0.00206745
-3.56214 0.00202673
-3.55216 0.00207292
-3.54219 0.0020753
-3.53221 0.00212107
-3.52223 0.00208087
-3.51225 0.00212589
-3.50227 0.00217073
-3.4923 0.00217272
-3.48232 0.00213302
-3.47234 0.00217753
-3.46236 0.002221
-3.45238 0.00218169
-3.44241 0.00218417
-3.43243 0.00222753
-3.42245 0.00222973
-3.41247 0.00227239
-3.40249 0.00227426
-3.39252 0.00227587
-3.38254 0.0023178
-3.37256 0.00232007
-3.36258 0.00236173
-3.3526 0.00236289
-3.34263 0.00236417
-3.33265 0.00236598
-3.32267 0.00236771
-3.31269 0.00240808
-3.30271 0.00244801
-3.29274 0.00241081
-3.28276 0.00245079
-3.27278 0.00248975
-3.2628 0.00249086
-3.25282 0.00249189
-3.24285 0.00253044
-3.23287 0.0024941
-3.22289 0.00253231
-3.21291 0.00257024
-3.20293 0.00257106
-3.19296 0.0025718
-3.18298 0.00260892
-3.173 0.00260949
-3.16302 0.00264606
-3.15304 0.00264664
-3.14307 0.00268282
-3.13309 0.00264735
-3.12311 0.00268299
-3.11313 0.00268339
-3.10315 0.00271865
-3.09318 0.00271886
-3.0832 0.00271913
-3.07322 0.0027537
-3.06324 0.00275363
-3.05326 0.00278761
-3.04329 0.00278733
-3.03331 0.00282073
-3.02333 0.00282091
-3.01335 0.00282067
-3.00337 0.00285321
-2.9934 0.00288575
-2.98342 0.00288516
-2.97344 0.0029171
-2.96346 0.0029166
-2.95348 0.0029478
-2.94351 0.00297899
-2.93353 0.00297812
-2.92355 0.00297696
-2.91357 0.00300757
-2.90359 0.00300656
-2.89362 0.00303618
-2.88364 0.00306613
-2.87366 0.00306503
-2.86368 0.00309367
-2.8537 0.00312235
-2.84373 0.00312082
-2.83375 0.00314917
-2.82377 0.0031475
-2.81379 0.0031755
-2.80381 0.00320285
-2.79384 0.00320104
-2.78386 0.00319912
-2.77388 0.00322548
-2.7639 0.00325241
-2.75392 0.00327869
-2.74395 0.00327643
-2.73397 0.00330216
-2.72399 0.00332751
-2.71401 0.00335286
-2.70403 0.00335013
-2.69406 0.00337473
-2.68408 0.00339923
-2.6741 0.00339637
-2.66412 0.00342038
-2.65414 0.0034175
-2.64417 0.00346709
-2.63419 0.00349048
-2.62421 0.00348725
-2.61423 0.00350953
-2.60425 0.00353212
-2.59428 0.00352889
-2.5843 0.00357587
-2.57432 0.00357203
-2.56434 0.00361838
-2.55436 0.00361472
-2.54439 0.00363538
-2.53441 0.00365535
-2.52443 0.00377342
-2.51445 0.00352823
-2.50447 0.00376331
-2.4945 0.00375851
-2.48452 0.00375362
-2.47454 0.00375107
-2.46456 0.00374537
-2.45458 0.00373981
-2.44461 0.00396573
-2.43463 0.00395906
-2.42465 0.00395252
-2.41467 0.00394809
-2.40469 0.00394223
-2.39472 0.00393669
-2.38474 0.00393148
-2.37476 0.00392637
-2.36478 0.00392177
-2.35481 0.00412794
-2.34483 0.00391015
-2.33485 0.00390643
-2.32487 0.0041084
-2.31489 0.00410381
-2.30492 0.00409781
-2.29494 0.00409042
-2.28496 0.00408334
-2.27498 0.00407815
-2.265 0.00427067
-2.25503 0.0042633
-2.24505 0.00425601
-2.23507 0.00444124
-2.22509 0.00424256
-2.21511 0.00442376
-2.20514 0.00422944
-2.19516 0.00440969
-2.18518 0.00440173
-2.1752 0.00457471
-2.16522 0.00438529
-2.15525 0.00437856
-2.14527 0.00454798
-2.13529 0.00454063
-2.12531 0.00453206
-2.11533 0.00452387
-2.10536 0.00468586
-2.09538 0.00467544
-2.0854 0.00466872
-2.07542 0.00465935
-2.06544 0.00481394
-2.05547 0.00480424
-2.04549 0.00479489
-2.03551 0.00478446
-2.02553 0.00477319
-2.01555 0.0047654
-2.00558 0.00475673
-1.9956 0.00489983
-1.98562 0.00489073
-1.97564 0.00488086
-1.96566 0.00486998
-1.95569 0.00500949
-1.94571 0.0049984
-1.93573 0.00513183
-1.92575 0.00512054
-1.91577 0.00496726
-1.9058 0.00509827
-1.89582 0.00508612
-1.88584 0.00521266
-1.87586 0.0052018
-1.86588 0.00519013
-1.85591 0.00531175
-1.84593 0.00529889
-1.83595 0.00541763
-1.82597 0.00540484
-1.81599 0.00539135
-1.80602 0.00537856
-1.79604 0.0054908
-1.78606 0.00547689
-1.77608 0.00558686
-1.7661 0.0055719
-1.75613 0.00555916
-1.74615 0.00554472
-1.73617 0.00564862
-1.72619 0.00563452
-1.71621 0.00573465
-1.70624 0.00583353
-1.69626 0.00581738
-1.68628 0.00591216
-1.6763 0.00589669
-1.66632 0.00588076
-1.65635 0.00586333
-1.64637 0.00595467
-1.63639 0.006043
-1.62641 0.00602526
-1.61643 0.00611138
-1.60646 0.00609471
-1.59648 0.00617712
-1.5865 0.00625777
-1.57652 0.00623933
-1.56654 0.00631627
-1.55657 0.00629772
-1.54659 0.00637307
-1.53661 0.00635435
-1.52663 0.00651917
-1.51665 0.00649875
-1.50668 0.00656655
-1.4967 0.00654674
-1.48672 0.00661367
-1.47674 0.00667739
-1.46676 0.00674133
-1.45679 0.00680321
-1.44681 0.00686271
-1.43683 0.00684044
-1.42685 0.00689991
-1.41687 0.00703478
-1.4069 0.00708673
-1.39692 0.00713925
-1.38694 0.00711432
-1.37696 0.00716518
-1.36698 0.00721496
-1.35701 0.00733336
-1.34703 0.00730783
-1.33705 0.00742304
-1.32707 0.00746536
-1.31709 0.00750791
-1.30712 0.00761388
-1.29714 0.00765205
-1.28716 0.007689
-1.27718 0.00778833
-1.2672 0.00782245
-1.25723 0.00791624
-1.24725 0.00794707
-1.23727 0.00803718
-1.22729 0.0081249
-1.21731 0.00815057
-1.20734 0.00823219
-1.19736 0.00831251
-1.18738 0.00833357
-1.1774 0.00846296
-1.16742 0.00853563
-1.15745 0.00855286
-1.14747 0.00867244
-1.13749 0.00873616
-1.12751 0.00884872
-1.11753 0.00890805
-1.10756 0.00896453
-1.09758 0.00906626
-1.0876 0.00916294
-1.07762 0.00920996
-1.06764 0.00929842
-1.05767 0.00933884
-1.04769 0.00946024
-1.03771 0.00953298
-1.02773 0.00955662
-1.01775 0.00969653
-1.00778 0.0100094
-0.997799 0.0102589
-0.987821 0.0102464
-0.977843 0.0102021
-0.967865 0.0103146
-0.957887 0.0103714
-0.947909 0.0105138
-0.937931 0.0105659
-0.927953 0.0107327
-0.917975 0.0108893
-0.907997 0.0109552
-0.898019 0.0110872
-0.888041 0.0112113
-0.878063 0.011324
-0.868085 0.0114325
-0.858107 0.0115302
-0.848129 0.0117183
-0.838151 0.0119087
-0.828173 0.0119917
-0.818195 0.0121747
-0.808217 0.0123584
-0.798239 0.0124265
-0.788261 0.0126077
-0.778283 0.0126559
-0.768305 0.0129692
-0.758327 0.0131534
-0.748349 0.0131914
-0.738371 0.01352
-0.728393 0.013703
-0.718415 0.0138866
-0.708437 0.0139021
-0.698459 0.0142587
-0.688481 0.014446
-0.678503 0.0148235
-0.668525 0.0148269
-0.658547 0.0152087
-0.648569 0.0154029
-0.638591 0.0153913
-0.628613 0.0158101
-0.618635 0.0162401
-0.608657 0.0164479
-0.598679 0.0164055
-0.588701 0.0168689
-0.578723 0.0170782
-0.568745 0.017577
-0.558767 0.0177925
-0.548789 0.0180179
-0.538811 0.0185691
-0.528833 0.0188069
-0.518855 0.019402
-0.508877 0.0196547
-0.498899 0.0199137
-0.488921 0.0205584
-0.478943 0.0208297
-0.468965 0.0211199
-0.458987 0.021397
-0.449009 0.0221324
-0.439031 0.0229372
