# ---$r/a_\mathrm{H}$---	---$\mathbf{v}(\sigma_\mathrm{I}^\mathrm{max})$---
-5.10873 6.24898e-17
-5.09875 2.96448e-09
-5.08877 5.92893e-09
-5.0788 8.89341e-09
-5.06882 1.18577e-08
-5.05884 1.48218e-08
-5.04886 1.77859e-08
-5.03888 2.07499e-08
-5.02891 2.37137e-08
-5.01893 2.66769e-08
-5.00895 2.96404e-08
-4.99897 3.26038e-08
-4.98899 3.55663e-08
-4.97902 3.85284e-08
-4.96904 4.14904e-08
-4.95906 4.4452e-08
-4.94908 4.74133e-08
-4.9391 5.03743e-08
-4.92913 5.33351e-08
-4.91915 5.62944e-08
-4.90917 5.92544e-08
-4.89919 6.22127e-08
-4.88921 6.51708e-08
-4.87924 6.81297e-08
-4.86926 7.10855e-08
-4.85928 7.4042e-08
-4.8493 7.69982e-08
-4.83932 7.99522e-08
-4.82935 8.29074e-08
-4.81937 8.5862e-08
-4.80939 8.88146e-08
-4.79941 9.17645e-08
-4.78943 9.47158e-08
-4.77946 9.76606e-08
-4.76948 1.00621e-07
-4.7595 1.03566e-07
-4.74952 1.06513e-07
-4.73954 1.09461e-07
-4.72957 1.12389e-07
-4.71959 1.15363e-07
-4.70961 1.18294e-07
-4.69963 1.21225e-07
-4.68965 1.24182e-07
-4.67968 1.27117e-07
-4.6697 1.30053e-07
-4.65972 1.32992e-07
-4.64974 1.35932e-07
-4.63976 1.38874e-07
-4.62979 1.41791e-07
-4.61981 1.44709e-07
-4.60983 1.47687e-07
-4.59985 1.5061e-07
-4.58987 1.53505e-07
-4.5799 1.5643e-07
-4.56992 1.59391e-07
-4.55994 1.62323e-07
-4.54996 1.65192e-07
-4.53998 1.68128e-07
-4.53001 1.71069e-07
-4.52003 1.73977e-07
-4.51005 1.76888e-07
-4.50007 1.79801e-07
-4.49009 1.82753e-07
-4.48012 1.85638e-07
-4.47014 1.88523e-07
-4.46016 1.91449e-07
-4.45018 1.94378e-07
-4.4402 1.97272e-07
-4.43023 2.00131e-07
-4.42025 2.03072e-07
-4.41027 2.05976e-07
-4.40029 2.08843e-07
-4.39031 2.11754e-07
-4.38034 2.14669e-07
-4.37036 2.17545e-07
-4.36038 2.20426e-07
-4.3504 2.2331e-07
-4.34042 2.26197e-07
-4.33045 2.2909e-07
-4.32047 2.3194e-07
-4.31049 2.34795e-07
-4.30051 2.377e-07
-4.29053 2.40609e-07
-4.28056 2.43475e-07
-4.27058 2.463e-07
-4.2606 2.49176e-07
-4.25062 2.52056e-07
-4.24064 2.54892e-07
-4.23067 2.57783e-07
-4.22069 2.60628e-07
-4.21071 2.63479e-07
-4.20073 2.66334e-07
-4.19075 2.69195e-07
-4.18078 2.72009e-07
-4.1708 2.74827e-07
-4.16082 2.77758e-07
-4.15084 2.80587e-07
-4.14086 2.83368e-07
-4.13089 2.86209e-07
-4.12091 2.89001e-07
-4.11093 2.91853e-07
-4.10095 2.94711e-07
-4.09097 2.97522e-07
-4.081 3.00335e-07
-4.07102 3.03158e-07
-4.06104 3.05985e-07
-4.05106 3.08762e-07
-4.04108 3.11545e-07
-4.03111 3.14334e-07
-4.02113 3.17188e-07
-4.01115 3.19993e-07
-4.00117 3.22743e-07
-3.99119 3.25561e-07
-3.98122 3.28325e-07
-3.97124 3.31096e-07
-3.96126 3.33937e-07
-3.95128 3.36662e-07
-3.94131 3.39393e-07
-3.93133 3.4226e-07
-3.92135 3.45007e-07
-3.91137 3.47763e-07
-3.90139 3.50526e-07
-3.89142 3.53235e-07
-3.88144 3.56016e-07
-3.87146 3.58741e-07
-3.86148 3.61474e-07
-3.8515 3.64284e-07
-3.84153 3.66969e-07
-3.83155 3.69665e-07
-3.82157 3.72434e-07
-3.81159 3.75216e-07
-3.80161 3.7794e-07
-3.79164 3.80605e-07
-3.78166 3.83278e-07
-3.77168 3.86033e-07
-3.7617 3.88728e-07
-3.75172 3.91434e-07
-3.74175 3.94151e-07
-3.73177 3.96808e-07
-3.72179 3.99548e-07
-3.71181 4.02229e-07
-3.70183 4.04846e-07
-3.69186 4.07551e-07
-3.68188 4.10265e-07
-3.6719 4.12848e-07
-3.66192 4.15514e-07
-3.65194 4.18268e-07
-3.64197 4.20886e-07
-3.63199 4.23519e-07
-3.62201 4.26164e-07
-3.61203 4.28823e-07
-3.60205 4.31495e-07
-3.59208 4.3403e-07
-3.5821 4.36655e-07
-3.57212 4.3937e-07
-3.56214 4.41947e-07
-3.55216 4.44541e-07
-3.54219 4.47223e-07
-3.53221 4.4977e-07
-3.52223 4.52329e-07
-3.51225 4.54984e-07
-3.50227 4.57575e-07
-3.4923 4.60106e-07
-3.48232 4.62653e-07
-3.47234 4.65295e-07
-3.46236 4.67875e-07
-3.45238 4.70393e-07
-3.44241 4.73009e-07
-3.43243 4.75563e-07
-3.42245 4.78054e-07
-3.41247 4.80645e-07
-3.40249 4.83173e-07
-3.39252 4.85641e-07
-3.38254 4.88208e-07
-3.37256 4.90796e-07
-3.36258 4.93239e-07
-3.3526 4.95704e-07
-3.34263 4.9827e-07
-3.33265 5.00777e-07
-3.32267 5.03304e-07
-3.31269 5.05771e-07
-3.30271 5.08259e-07
-3.29274 5.10771e-07
-3.28276 5.1322e-07
-3.27278 5.15611e-07
-3.2628 5.18106e-07
-3.25282 5.20629e-07
-3.24285 5.23005e-07
-3.23287 5.25408e-07
-3.22289 5.27917e-07
-3.21291 5.3037e-07
-3.20293 5.32763e-07
-3.19296 5.35183e-07
-3.18298 5.37628e-07
-3.173 5.40015e-07
-3.16302 5.4243e-07
-3.15304 5.44874e-07
-3.14307 5.47174e-07
-3.13309 5.4959e-07
-3.12311 5.51947e-07
-3.11313 5.54336e-07
-3.10315 5.56752e-07
-3.09318 5.59116e-07
-3.0832 5.61422e-07
-3.07322 5.63763e-07
-3.06324 5.66133e-07
-3.05326 5.6845e-07
-3.04329 5.708e-07
-3.03331 5.73099e-07
-3.02333 5.75429e-07
-3.01335 5.77796e-07
-3.00337 5.80109e-07
-2.9934 5.82373e-07
-2.98342 5.84671e-07
-2.97344 5.86922e-07
-2.96346 5.89207e-07
-2.95348 5.91533e-07
-2.94351 5.93809e-07
-2.93353 5.96038e-07
-2.92355 5.98218e-07
-2.91357 6.00528e-07
-2.90359 6.02876e-07
-2.89362 6.05007e-07
