# ---X---	---Y---
-5.10873 0.0344312
-5.09875 0.0344356
-5.08877 0.0344399
-5.0788 0.0344442
-5.06882 0.0344484
-5.05884 0.0344526
-5.04886 0.0344567
-5.03888 0.0344607
-5.02891 0.0344648
-5.01893 0.0344687
-5.00895 0.0344726
-4.99897 0.0344765
-4.98899 0.0344803
-4.97902 0.0344841
-4.96904 0.0344878
-4.95906 0.0344914
-4.94908 0.034495
-4.9391 0.0344986
-4.92913 0.0345021
-4.91915 0.0345055
-4.90917 0.0345089
-4.89919 0.0345123
-4.88921 0.0345156
-4.87924 0.0345188
-4.86926 0.034522
-4.85928 0.0345252
-4.8493 0.0345283
-4.83932 0.0345313
-4.82935 0.0345343
-4.81937 0.0345373
-4.80939 0.0345402
-4.79941 0.034543
-4.78943 0.0345458
-4.77946 0.0345485
-4.76948 0.0345512
-4.7595 0.0345539
-4.74952 0.0345565
-4.73954 0.034559
-4.72957 0.0345615
-4.71959 0.0345639
-4.70961 0.0345663
-4.69963 0.0345686
-4.68965 0.0345709
-4.67968 0.0345731
-4.6697 0.0345753
-4.65972 0.0345775
-4.64974 0.0345795
-4.63976 0.0345816
-4.62979 0.0345835
-4.61981 0.0345855
-4.60983 0.0345873
-4.59985 0.0345891
-4.58987 0.0345909
-4.5799 0.0345926
-4.56992 0.0345943
-4.55994 0.0345959
-4.54996 0.0345975
-4.53998 0.034599
-4.53001 0.0346004
-4.52003 0.0346018
-4.51005 0.0346032
-4.50007 0.0346045
-4.49009 0.0346057
-4.48012 0.0346069
-4.47014 0.0346081
-4.46016 0.0346092
-4.45018 0.0346102
-4.4402 0.0346112
-4.43023 0.0346121
-4.42025 0.034613
-4.41027 0.0346138
-4.40029 0.0346146
-4.39031 0.0346153
-4.38034 0.034616
-4.37036 0.0346166
-4.36038 0.0346172
-4.3504 0.0346177
-4.34042 0.0346181
-4.33045 0.0346185
-4.32047 0.0346189
-4.31049 0.0346192
-4.30051 0.0346194
-4.29053 0.0346196
-4.28056 0.0346197
-4.27058 0.0346198
-4.2606 0.0346198
-4.25062 0.0346198
-4.24064 0.0346197
-4.23067 0.0346195
-4.22069 0.0346193
-4.21071 0.0346191
