# ---X---	---Y---
-5.10873 8.7424e-06
-5.09875 1.74822e-05
-5.08877 2.62144e-05
-5.0788 3.49696e-05
-5.06882 4.36992e-05
-5.05884 5.248e-05
-5.04886 6.12096e-05
-5.03888 6.99648e-05
-5.02891 7.87456e-05
-5.01893 8.75008e-05
-5.00895 9.6256e-05
-4.99897 0.000105011
-4.98899 0.000113792
-4.97902 0.000122573
-4.96904 0.000131354
-4.95906 0.00014016
-4.94908 0.000148966
-4.9391 0.000157773
-4.92913 0.000166579
-4.91915 0.000175411
-4.90917 0.00018432
-4.89919 0.000193024
-4.88921 0.000201984
-4.87924 0.000210688
-4.86926 0.000219648
-4.85928 0.000228608
-4.8493 0.000237568
-4.83932 0.000246272
-4.82935 0.000255488
-4.81937 0.000263936
-4.80939 0.000273152
-4.79941 0.000282112
-4.78943 0.000290816
-4.77946 0.000300032
-4.76948 0.000308992
-4.7595 0.000317952
-4.74952 0.000326912
-4.73954 0.000336128
-4.72957 0.000345088
-4.71959 0.000354304
-4.70961 0.000363264
-4.69963 0.000372224
-4.68965 0.00038144
-4.67968 0.000390656
-4.6697 0.000399872
-4.65972 0.000409088
-4.64974 0.000418048
-4.63976 0.00042752
-4.62979 0.000436736
-4.61981 0.000445952
-4.60983 0.000455424
-4.59985 0.00046464
-4.58987 0.000474112
-4.5799 0.000483328
-4.56992 0.0004928
-4.55994 0.000502272
-4.54996 0.000511488
-4.53998 0.00052096
-4.53001 0.000530432
-4.52003 0.000539904
-4.51005 0.000549632
-4.50007 0.000559104
-4.49009 0.000568576
-4.48012 0.000578304
-4.47014 0.000587776
-4.46016 0.000597504
-4.45018 0.000607232
-4.4402 0.000617216
-4.43023 0.000626944
-4.42025 0.000636928
-4.41027 0.0006464
-4.40029 0.000656384
-4.39031 0.000666368
-4.38034 0.000676352
-4.37036 0.000686336
-4.36038 0.00069632
-4.3504 0.000706304
-4.34042 0.000716544
-4.33045 0.000726528
-4.32047 0.000736768
-4.31049 0.000746752
-4.30051 0.000757248
-4.29053 0.000767232
-4.28056 0.000777472
-4.27058 0.000787968
-4.2606 0.000798464
-4.25062 0.00080896
-4.24064 0.000819456
-4.23067 0.000829952
-4.22069 0.000840448
-4.21071 0.000850944
-4.20073 0.00086144
-4.19075 0.000872192
-4.18078 0.0008832
-4.1708 0.000893952
-4.16082 0.000904704
-4.15084 0.000915456
-4.14086 0.000926464
-4.13089 0.000937472
-4.12091 0.00094848
-4.11093 0.000959488
-4.10095 0.000970752
-4.09097 0.000982016
-4.081 0.00099328
-4.07102 0.00100454
-4.06104 0.00101581
-4.05106 0.00102733
-4.04108 0.00103859
-4.03111 0.00105011
-4.02113 0.00106163
-4.01115 0.00107315
-4.00117 0.00108493
-3.99119 0.0010967
-3.98122 0.00110848
-3.97124 0.00112026
-3.96126 0.00113229
-3.95128 0.00114432
-3.94131 0.00115635
-3.93133 0.00116838
-3.92135 0.00118067
-3.91137 0.00119296
-3.90139 0.00120525
-3.89142 0.00121754
-3.88144 0.00123008
-3.87146 0.00124262
-3.86148 0.00125542
-3.8515 0.00126797
-3.84153 0.00128051
-3.83155 0.00129331
-3.82157 0.00130611
-3.81159 0.00131942
-3.80161 0.00133248
-3.79164 0.00134528
-3.78166 0.00135859
-3.77168 0.0013719
-3.7617 0.00138522
-3.75172 0.00139853
-3.74175 0.0014121
-3.73177 0.00142566
-3.72179 0.00143923
-3.71181 0.00145306
-3.70183 0.00146714
-3.69186 0.00148096
-3.68188 0.00149478
-3.6719 0.00150886
-3.66192 0.0015232
-3.65194 0.00153754
-3.64197 0.00155187
-3.63199 0.00156621
-3.62201 0.0015808
-3.61203 0.00159565
-3.60205 0.0016105
-3.59208 0.00162509
-3.5821 0.00163994
-3.57212 0.0016553
-3.56214 0.0016704
-3.55216 0.0016855
-3.54219 0.00170086
-3.53221 0.00171622
-3.52223 0.0017321
-3.51225 0.00174771
-3.50227 0.00176358
-3.4923 0.00177946
-3.48232 0.00179533
-3.47234 0.00181171
-3.46236 0.00182784
-3.45238 0.00184422
-3.44241 0.00186061
-3.43243 0.00187725
-3.42245 0.00189389
-3.41247 0.00191078
-3.40249 0.00192794
-3.39252 0.00194509
-3.38254 0.00196224
-3.37256 0.00197965
-3.36258 0.00199706
-3.3526 0.00201472
-3.34263 0.00203238
-3.33265 0.0020503
-3.32267 0.00206822
-3.31269 0.00208666
-3.30271 0.00210483
-3.29274 0.00212429
-3.28276 0.00214272
-3.27278 0.00216064
-3.2628 0.00218112
-3.25282 0.00219904
-3.24285 0.00221696
-3.23287 0.00223488
-3.22289 0.00225536
-3.21291 0.0022784
-3.20293 0.00229632
-3.19296 0.0023168
-3.18298 0.00233728
-3.173 0.00235776
-3.16302 0.00237824
-3.15304 0.00239872
-3.14307 0.00241664
-3.13309 0.00243968
-3.12311 0.00246016
-3.11313 0.0024832
-3.10315 0.00250368
-3.09318 0.00252672
-3.0832 0.0025472
-3.07322 0.00257024
-3.06324 0.00259072
-3.05326 0.00261376
-3.04329 0.0026368
-3.03331 0.00265984
-3.02333 0.00268288
-3.01335 0.00270592
-3.00337 0.00272896
-2.9934 0.00275456
-2.98342 0.0027776
-2.97344 0.0028032
-2.96346 0.00282624
-2.95348 0.00285184
-2.94351 0.00287488
-2.93353 0.00290048
-2.92355 0.00292608
-2.91357 0.00294912
-2.90359 0.00297728
-2.89362 0.00300288
-2.88364 0.00302848
-2.87366 0.00305664
-2.86368 0.00308224
-2.8537 0.0031104
-2.84373 0.003136
-2.83375 0.00316416
-2.82377 0.00319232
-2.81379 0.00322048
-2.80381 0.00324608
-2.79384 0.0032768
-2.78386 0.00330496
-2.77388 0.00333568
-2.7639 0.00336384
-2.75392 0.00339456
-2.74395 0.00342528
-2.73397 0.00345344
-2.72399 0.00348416
-2.71401 0.00351744
-2.70403 0.00354816
-2.69406 0.00357888
-2.68408 0.0036096
-2.6741 0.00364288
-2.66412 0.00367616
-2.65414 0.00370944
-2.64417 0.00374016
-2.63419 0.003776
-2.62421 0.00380928
-2.61423 0.00384256
-2.60425 0.0038784
-2.59428 0.00391424
-2.5843 0.00395008
-2.57432 0.00398592
-2.56434 0.0040192
-2.55436 0.0040576
-2.54439 0.00409344
-2.53441 0.00413184
-2.52443 0.00417024
-2.51445 0.00420608
-2.50447 0.00424704
-2.4945 0.00428544
-2.48452 0.00432384
-2.47454 0.0043648
-2.46456 0.00440576
-2.45458 0.00444416
-2.44461 0.00448768
-2.43463 0.00452864
-2.42465 0.00457216
-2.41467 0.00461568
-2.40469 0.0046592
-2.39472 0.00470016
-2.38474 0.00474368
-2.37476 0.00478976
-2.36478 0.00483584
-2.35481 0.00488192
-2.34483 0.004928
-2.33485 0.00497408
-2.32487 0.00502272
-2.31489 0.00507136
-2.30492 0.00511744
-2.29494 0.00516608
-2.28496 0.00521728
-2.27498 0.00526848
-2.265 0.00531968
-2.25503 0.00536832
-2.24505 0.00542208
-2.23507 0.00547584
-2.22509 0.0055296
-2.21511 0.00558336
-2.20514 0.00563712
-2.19516 0.00569344
-2.18518 0.00574976
-2.1752 0.00580608
-2.16522 0.00586496
-2.15525 0.00592384
-2.14527 0.00598272
-2.13529 0.0060416
-2.12531 0.00610304
-2.11533 0.00616448
-2.10536 0.00622848
-2.09538 0.00629248
-2.0854 0.00635392
-2.07542 0.00641792
-2.06544 0.00648448
-2.05547 0.00655104
-2.04549 0.00662016
