# ---X---	---Y---
-5.10873 0.00158981
-5.09875 0.00160254
-5.08877 0.00162966
-5.0788 0.00165677
-5.06882 0.00165506
-5.05884 0.00168213
-5.04886 0.00170923
-5.03888 0.00170749
-5.02891 0.00173455
-5.01893 0.00176159
-5.00895 0.0017742
-4.99897 0.00180123
-4.98899 0.00181386
-4.97902 0.00182644
-4.96904 0.00185345
-4.95906 0.00188041
-4.94908 0.00189299
-4.9391 0.00190553
-4.92913 0.00193247
-4.91915 0.00194502
-4.90917 0.00197194
-4.89919 0.00199885
-4.88921 0.00199694
-4.87924 0.00202383
-4.86926 0.0020507
-4.85928 0.00206314
-4.8493 0.00208998
-4.83932 0.00210243
-4.82935 0.00212926
-4.81937 0.00215606
-4.80939 0.00215406
-4.79941 0.00218084
-4.78943 0.00220761
-4.77946 0.00221994
-4.76948 0.00224671
-4.7595 0.00227343
-4.74952 0.00228575
-4.73954 0.00229805
-4.72957 0.00232474
-4.71959 0.00235139
-4.70961 0.00237807
-4.69963 0.00239032
-4.68965 0.00240255
-4.67968 0.00242916
-4.6697 0.00245576
-4.65972 0.00246795
-4.64974 0.00248012
-4.63976 0.00250668
-4.62979 0.00253322
-4.61981 0.00255975
-4.60983 0.00258626
-4.59985 0.00259836
-4.58987 0.00261044
-4.5799 0.0026369
-4.56992 0.00266335
-4.55994 0.00268978
-4.54996 0.0027162
-4.53998 0.0027282
-4.53001 0.00274018
-4.52003 0.00276655
-4.51005 0.0027929
-4.50007 0.00281923
-4.49009 0.00284555
-4.48012 0.00285744
-4.47014 0.00288372
-4.46016 0.00290999
-4.45018 0.00292183
-4.4402 0.00294806
-4.43023 0.00297427
-4.42025 0.00300046
-4.41027 0.00302663
-4.40029 0.00303839
-4.39031 0.00306455
-4.38034 0.00309064
-4.37036 0.00311677
-4.36038 0.00314281
-4.3504 0.00315447
-4.34042 0.00318051
-4.33045 0.00320653
-4.32047 0.00323253
-4.31049 0.0032585
-4.30051 0.00328446
-4.29053 0.0033104
-4.28056 0.00332192
-4.27058 0.00334784
-4.2606 0.00338808
-4.25062 0.00339954
-4.24064 0.0034254
-4.23067 0.00346558
-4.22069 0.00347696
-4.21071 0.00350276
-4.20073 0.00352847
-4.19075 0.00355422
-4.18078 0.00359428
-4.1708 0.00360556
-4.16082 0.00363121
-4.15084 0.00365683
-4.14086 0.00368246
-4.13089 0.00372241
-4.12091 0.00374797
-4.11093 0.00375909
-4.10095 0.00378463
-4.09097 0.0038245
-4.081 0.00384996
-4.07102 0.00387536
-4.06104 0.00390079
