# ---$r/a_\mathrm{H}$---	---Y---
-5.10873 9.32972e-17
-5.09875 1.50323e-11
-5.08877 3.00613e-11
-5.0788 4.50842e-11
-5.06882 6.00969e-11
-5.05884 7.50972e-11
-5.04886 9.00835e-11
-5.03888 1.05048e-10
-5.02891 1.19991e-10
-5.01893 1.3491e-10
-5.00895 1.49797e-10
-4.99897 1.64657e-10
-4.98899 1.79484e-10
-4.97902 1.94264e-10
-4.96904 2.09009e-10
-4.95906 2.23712e-10
-4.94908 2.38356e-10
-4.9391 2.52967e-10
-4.92913 2.67517e-10
-4.91915 2.82009e-10
-4.90917 2.96449e-10
-4.89919 3.10823e-10
-4.88921 3.25135e-10
-4.87924 3.39375e-10
-4.86926 3.53545e-10
-4.85928 3.67657e-10
-4.8493 3.81675e-10
-4.83932 3.95618e-10
-4.82935 4.09484e-10
-4.81937 4.2326e-10
-4.80939 4.36964e-10
-4.79941 4.50576e-10
-4.78943 4.64098e-10
-4.77946 4.77521e-10
-4.76948 4.90839e-10
-4.7595 5.04067e-10
-4.74952 5.17198e-10
-4.73954 5.30234e-10
-4.72957 5.43159e-10
-4.71959 5.55983e-10
-4.70961 5.68677e-10
-4.69963 5.81265e-10
-4.68965 5.93766e-10
-4.67968 6.06129e-10
-4.6697 6.18384e-10
-4.65972 6.30514e-10
-4.64974 6.42517e-10
-4.63976 6.54423e-10
-4.62979 6.66272e-10
-4.61981 6.77866e-10
-4.60983 6.8933e-10
-4.59985 7.0071e-10
-4.58987 7.11849e-10
-4.5799 7.23103e-10
-4.56992 7.34112e-10
-4.55994 7.45062e-10
-4.54996 7.55758e-10
-4.53998 7.66201e-10
-4.53001 7.76771e-10
-4.52003 7.87086e-10
-4.51005 7.97143e-10
-4.50007 8.07134e-10
-4.49009 8.17264e-10
-4.48012 8.2693e-10
-4.47014 8.36536e-10
-4.46016 8.46081e-10
-4.45018 8.55157e-10
-4.4402 8.64374e-10
-4.43023 8.73531e-10
-4.42025 8.82424e-10
-4.41027 8.91048e-10
-4.40029 8.99612e-10
-4.39031 9.08119e-10
-4.38034 9.16358e-10
-4.37036 9.24542e-10
-4.36038 9.3267e-10
-4.3504 9.4053e-10
-4.34042 9.48122e-10
-4.33045 9.55446e-10
-4.32047 9.62934e-10
-4.31049 9.7037e-10
-4.30051 9.77327e-10
-4.29053 9.84232e-10
-4.28056 9.9109e-10
-4.27058 9.97686e-10
-4.2606 1.00424e-09
-4.25062 1.01074e-09
-4.24064 1.01677e-09
-4.23067 1.02276e-09
-4.22069 1.0287e-09
-4.21071 1.03461e-09
-4.20073 1.04026e-09
-4.19075 1.04544e-09
-4.18078 1.05081e-09
-4.1708 1.05614e-09
-4.16082 1.06122e-09
-4.15084 1.06606e-09
-4.14086 1.07065e-09
-4.13089 1.07522e-09
-4.12091 1.07976e-09
-4.11093 1.08405e-09
-4.10095 1.08812e-09
-4.09097 1.09216e-09
-4.081 1.09619e-09
-4.07102 1.09998e-09
-4.06104 1.10334e-09
-4.05106 1.10689e-09
-4.04108 1.11043e-09
-4.03111 1.11333e-09
-4.02113 1.11643e-09
-4.01115 1.11953e-09
-4.00117 1.1222e-09
-3.99119 1.12487e-09
-3.98122 1.12734e-09
-3.97124 1.1298e-09
-3.96126 1.13207e-09
-3.95128 1.13413e-09
-3.94131 1.1362e-09
-3.93133 1.13808e-09
-3.92135 1.13997e-09
-3.91137 1.14147e-09
-3.90139 1.14298e-09
-3.89142 1.14451e-09
-3.88144 1.14567e-09
-3.87146 1.14685e-09
-3.86148 1.14785e-09
-3.8515 1.14869e-09
-3.84153 1.14955e-09
