# ---$r/a_\mathrm{H}$---	---Y---
-5.10873 1.72782e-11
-5.09875 1.72779e-11
-5.08877 1.72761e-11
-5.0788 1.72727e-11
-5.06882 1.72677e-11
-5.05884 1.7262e-11
-5.04886 1.72553e-11
-5.03888 1.72442e-11
-5.02891 1.72339e-11
-5.01893 1.72255e-11
-5.00895 1.72124e-11
-4.99897 1.71989e-11
-4.98899 1.71801e-11
-4.97902 1.71624e-11
-4.96904 1.71492e-11
-4.95906 1.71254e-11
-4.94908 1.71036e-11
-4.9391 1.70824e-11
-4.92913 1.70592e-11
-4.91915 1.70342e-11
-4.90917 1.70089e-11
-4.89919 1.69747e-11
-4.88921 1.69464e-11
-4.87924 1.69241e-11
-4.86926 1.68853e-11
-4.85928 1.68541e-11
-4.8493 1.68292e-11
-4.83932 1.67861e-11
-4.82935 1.67506e-11
-4.81937 1.67042e-11
-4.80939 1.66671e-11
-4.79941 1.66384e-11
-4.78943 1.65993e-11
-4.77946 1.65587e-11
-4.76948 1.65056e-11
-4.7595 1.64627e-11
-4.74952 1.6419e-11
-4.73954 1.63746e-11
-4.72957 1.6329e-11
-4.71959 1.62706e-11
-4.70961 1.6235e-11
-4.69963 1.61739e-11
-4.68965 1.61253e-11
-4.67968 1.6075e-11
-4.6697 1.60109e-11
-4.65972 1.59592e-11
-4.64974 1.59065e-11
-4.63976 1.58399e-11
-4.62979 1.58036e-11
-4.61981 1.5659e-11
-4.60983 1.56159e-11
-4.59985 1.55745e-11
-4.58987 1.5529e-11
-4.5799 1.54918e-11
-4.56992 1.52928e-11
-4.55994 1.5412e-11
-4.54996 1.53694e-11
-4.53998 1.53229e-11
-4.53001 1.51194e-11
-4.52003 1.50756e-11
-4.51005 1.50285e-11
-4.50007 1.49838e-11
-4.49009 1.4947e-11
-4.48012 1.49011e-11
-4.47014 1.46822e-11
-4.46016 1.48161e-11
-4.45018 1.45882e-11
-4.4402 1.45447e-11
-4.43023 1.45034e-11
-4.42025 1.44592e-11
-4.41027 1.44121e-11
-4.40029 1.41832e-11
-4.39031 1.41398e-11
-4.38034 1.40936e-11
-4.37036 1.405e-11
-4.36038 1.40088e-11
-4.3504 1.37749e-11
-4.34042 1.3728e-11
-4.33045 1.36791e-11
-4.32047 1.36369e-11
-4.31049 1.3597e-11
-4.30051 1.35505e-11
-4.29053 1.33123e-11
-4.28056 1.34651e-11
-4.27058 1.32257e-11
-4.2606 1.31841e-11
-4.25062 1.31448e-11
-4.24064 1.30993e-11
