# ---X---	---Y---
-5.10873 5.05354e-07
-5.09875 4.84827e-07
-5.08877 4.64509e-07
-5.0788 4.45033e-07
-5.06882 4.26171e-07
-5.05884 4.07712e-07
-5.04886 3.89468e-07
-5.03888 3.71825e-07
-5.02891 3.54774e-07
-5.01893 3.37942e-07
-5.00895 3.21689e-07
-4.99897 3.0601e-07
-4.98899 2.90722e-07
-4.97902 2.75825e-07
-4.96904 2.6132e-07
-4.95906 2.47362e-07
-4.94908 2.33788e-07
-4.9391 2.20453e-07
-4.92913 2.07797e-07
-4.91915 1.95517e-07
-4.90917 1.83482e-07
-4.89919 1.72093e-07
-4.88921 1.60946e-07
-4.87924 1.50179e-07
-4.86926 1.39793e-07
-4.85928 1.29897e-07
-4.8493 1.2048e-07
-4.83932 1.11219e-07
-4.82935 1.02437e-07
-4.81937 9.4125e-08
-4.80939 8.6176e-08
-4.79941 7.8504e-08
-4.78943 7.12036e-08
-4.77946 6.43567e-08
-4.76948 5.79505e-08
-4.7595 5.18283e-08
-4.74952 4.60037e-08
-4.73954 4.0616e-08
-4.72957 3.55938e-08
-4.71959 3.09937e-08
-4.70961 2.66973e-08
-4.69963 2.27678e-08
-4.68965 1.92459e-08
-4.67968 1.60431e-08
-4.6697 1.32056e-08
-4.65972 1.07337e-08
-4.64974 8.62744e-09
-4.63976 6.88757e-09
-4.62979 5.53166e-09
-4.61981 4.51797e-09
-4.60983 3.86975e-09
-4.59985 3.58692e-09
-4.58987 3.66641e-09
-4.5799 4.11814e-09
-4.56992 4.93501e-09
-4.55994 6.11687e-09
-4.54996 7.67765e-09
-4.53998 9.61047e-09
-4.53001 1.18946e-08
-4.52003 1.45685e-08
-4.51005 1.76452e-08
-4.50007 2.10669e-08
-4.49009 2.48614e-08
-4.48012 2.90693e-08
-4.47014 3.36113e-08
-4.46016 3.85751e-08
-4.45018 4.39714e-08
-4.4402 4.9755e-08
-4.43023 5.59262e-08
-4.42025 6.24161e-08
-4.41027 6.93562e-08
-4.40029 7.66815e-08
-4.39031 8.4472e-08
-4.38034 9.27377e-08
-4.37036 1.0132e-07
-4.36038 1.10293e-07
-4.3504 1.19756e-07
-4.34042 1.29719e-07
-4.33045 1.39986e-07
-4.32047 1.50652e-07
-4.31049 1.61943e-07
-4.30051 1.73652e-07
-4.29053 1.85774e-07
-4.28056 1.9831e-07
-4.27058 2.11263e-07
-4.2606 2.24898e-07
-4.25062 2.38963e-07
-4.24064 2.53315e-07
-4.23067 2.68381e-07
-4.22069 2.83887e-07
-4.21071 2.9983e-07
-4.20073 3.16369e-07
-4.19075 3.33187e-07
-4.18078 3.50781e-07
-4.1708 3.69001e-07
-4.16082 3.87682e-07
