# ---$r/a_\mathrm{H}$---	---Y---
-5.10873 1
-5.09875 1
-5.08877 1
-5.0788 1
-5.06882 1
-5.05884 1
-5.04886 1
-5.03888 1
-5.02891 1
-5.01893 1
-5.00895 1
-4.99897 1
-4.98899 1
-4.97902 1
-4.96904 1
-4.95906 1
-4.94908 1
-4.9391 1
-4.92913 1
-4.91915 1
-4.90917 1
-4.89919 1
-4.88921 1
-4.87924 1
-4.86926 1
-4.85928 1
-4.8493 1
-4.83932 1
-4.82935 1
-4.81937 1
-4.80939 1
-4.79941 1
-4.78943 1
-4.77946 1
-4.76948 1
-4.7595 1
-4.74952 1
-4.73954 1
-4.72957 1
-4.71959 1
-4.70961 1
-4.69963 1
-4.68965 1
-4.67968 1
-4.6697 1
-4.65972 1
-4.64974 1
-4.63976 1
-4.62979 1
-4.61981 1
-4.60983 1
-4.59985 1
-4.58987 1
-4.5799 0.000316364
-4.56992 6.20689e-05
-4.55994 3.44173e-05
-4.54996 2.37213e-05
-4.53998 1.81008e-05
-4.53001 1.467e-05
-4.52003 1.23096e-05
-4.51005 1.05866e-05
-4.50007 9.30203e-06
-4.49009 8.29628e-06
-4.48012 7.47867e-06
-4.47014 6.81597e-06
-4.46016 6.25549e-06
-4.45018 5.77551e-06
-4.4402 5.36452e-06
-4.43023 5.00863e-06
-4.42025 4.70113e-06
-4.41027 4.42648e-06
-4.40029 4.1826e-06
-4.39031 3.96205e-06
-4.38034 3.76177e-06
-4.37036 3.58314e-06
-4.36038 3.42108e-06
-4.3504 3.27166e-06
-4.34042 3.13349e-06
-4.33045 3.00825e-06
-4.32047 2.89295e-06
-4.31049 2.78395e-06
-4.30051 2.68312e-06
-4.29053 2.58961e-06
-4.28056 2.50266e-06
-4.27058 2.42158e-06
-4.2606 2.34407e-06
-4.25062 2.27159e-06
-4.24064 2.20446e-06
-4.23067 2.13993e-06
-4.22069 2.07927e-06
-4.21071 2.02216e-06
-4.20073 1.96767e-06
-4.19075 1.91682e-06
-4.18078 1.86761e-06
-4.1708 1.82051e-06
-4.16082 1.7759e-06
-4.15084 1.7336e-06
-4.14086 1.69342e-06
-4.13089 1.65437e-06
-4.12091 1.61723e-06
-4.11093 1.58187e-06
-4.10095 1.54818e-06
-4.09097 1.51533e-06
-4.081 1.48363e-06
-4.07102 1.45371e-06
-4.06104 1.42478e-06
-4.05106 1.39682e-06
-4.04108 1.36978e-06
-4.03111 1.34361e-06
-4.02113 1.31882e-06
-4.01115 1.29479e-06
-4.00117 1.27124e-06
-3.99119 1.24865e-06
-3.98122 1.22674e-06
-3.97124 1.20571e-06
-3.96126 1.18549e-06
-3.95128 1.16564e-06
-3.94131 1.14614e-06
-3.93133 1.12759e-06
-3.92135 1.10974e-06
-3.91137 1.09219e-06
-3.90139 1.07511e-06
-3.89142 1.05866e-06
-3.88144 1.04247e-06
-3.87146 1.02687e-06
-3.86148 1.01183e-06
-3.8515 9.97015e-07
-3.84153 9.82577e-07
-3.83155 9.68504e-07
-3.82157 9.54783e-07
-3.81159 9.41538e-07
-3.80161 9.28745e-07
-3.79164 9.16004e-07
-3.78166 9.03696e-07
-3.77168 8.91684e-07
-3.7617 8.79838e-07
-3.75172 8.68502e-07
-3.74175 8.57317e-07
-3.73177 8.46286e-07
-3.72179 8.35617e-07
-3.71181 8.25193e-07
-3.70183 8.15008e-07
-3.69186 8.05053e-07
-3.68188 7.95324e-07
-3.6719 7.85721e-07
-3.66192 7.76334e-07
-3.65194 7.67245e-07
-3.64197 7.58272e-07
-3.63199 7.49498e-07
-3.62201 7.40997e-07
-3.61203 7.32524e-07
-3.60205 7.24238e-07
-3.59208 7.16208e-07
-3.5821 7.08277e-07
-3.57212 7.0052e-07
-3.56214 6.92859e-07
-3.55216 6.85364e-07
-3.54219 6.78099e-07
-3.53221 6.70921e-07
-3.52223 6.63834e-07
-3.51225 6.56898e-07
-3.50227 6.50049e-07
-3.4923 6.43407e-07
-3.48232 6.36904e-07
-3.47234 6.30425e-07
-3.46236 6.24084e-07
-3.45238 6.17877e-07
-3.44241 6.11747e-07
-3.43243 6.05747e-07
-3.42245 6.00076e-07
-3.41247 5.93972e-07
-3.40249 5.88347e-07
-3.39252 5.82928e-07
-3.38254 5.77203e-07
-3.37256 5.71648e-07
-3.36258 5.66254e-07
-3.3526 5.6102e-07
-3.34263 5.5594e-07
-3.33265 5.51004e-07
-3.32267 5.458e-07
-3.31269 5.41153e-07
-3.30271 5.3624e-07
-3.29274 5.31085e-07
-3.28276 5.26461e-07
-3.27278 5.2197e-07
-3.2628 5.17608e-07
-3.25282 5.13014e-07
-3.24285 5.08202e-07
-3.23287 5.03876e-07
-3.22289 4.99674e-07
-3.21291 4.9559e-07
-3.20293 4.91301e-07
-3.19296 4.87135e-07
-3.18298 4.8309e-07
-3.173 4.79161e-07
-3.16302 4.75044e-07
-3.15304 4.71048e-07
-3.14307 4.67455e-07
-3.13309 4.63398e-07
-3.12311 4.59735e-07
-3.11313 4.56178e-07
-3.10315 4.52454e-07
-3.09318 4.48838e-07
-3.0832 4.4507e-07
-3.07322 4.41662e-07
-3.06324 4.38352e-07
-3.05326 4.34651e-07
-3.04329 4.31293e-07
-3.03331 4.28035e-07
-3.02333 4.24869e-07
-3.01335 4.21565e-07
-3.00337 4.1814e-07
-2.9934 4.15027e-07
-2.98342 4.11791e-07
-2.97344 4.08651e-07
-2.96346 4.056e-07
-2.95348 4.02634e-07
-2.94351 3.99756e-07
-2.93353 3.9657e-07
-2.92355 3.93478e-07
-2.91357 3.9066e-07
-2.90359 3.87927e-07
-2.89362 3.8509e-07
-2.88364 3.82156e-07
-2.87366 3.79305e-07
-2.86368 3.7654e-07
-2.8537 3.73856e-07
-2.84373 3.71081e-07
-2.83375 3.68387e-07
-2.82377 3.65773e-07
-2.81379 3.63078e-07
-2.80381 3.60462e-07
-2.79384 3.57919e-07
-2.78386 3.55302e-07
-2.77388 3.52761e-07
-2.7639 3.50298e-07
-2.75392 3.47761e-07
-2.74395 3.453e-07
-2.73397 3.42775e-07
-2.72399 3.40324e-07
-2.71401 3.37945e-07
-2.70403 3.35509e-07
-2.69406 3.33142e-07
-2.68408 3.30846e-07
-2.6741 3.28493e-07
-2.66412 3.26089e-07
-2.65414 3.23759e-07
-2.64417 3.21495e-07
-2.63419 3.19185e-07
-2.62421 3.16944e-07
-2.61423 3.14659e-07
-2.60425 3.12333e-07
-2.59428 3.10185e-07
-2.5843 3.07994e-07
-2.57432 3.05768e-07
-2.56434 3.03608e-07
-2.55436 3.01414e-07
-2.54439 2.99283e-07
-2.53441 2.97122e-07
-2.52443 2.94934e-07
-2.51445 2.92811e-07
-2.50447 2.9066e-07
-2.4945 2.88577e-07
-2.48452 2.86555e-07
-2.47454 2.84424e-07
-2.46456 2.82273e-07
-2.45458 2.80187e-07
-2.44461 2.78085e-07
-2.43463 2.76048e-07
-2.42465 2.74073e-07
-2.41467 2.72002e-07
-2.40469 2.69922e-07
-2.39472 2.67907e-07
-2.38474 2.6588e-07
-2.37476 2.63846e-07
-2.36478 2.61802e-07
-2.35481 2.59757e-07
-2.34483 2.57773e-07
-2.33485 2.55787e-07
-2.32487 2.53734e-07
-2.31489 2.51807e-07
-2.30492 2.49817e-07
-2.29494 2.47768e-07
-2.28496 2.45783e-07
-2.27498 2.43803e-07
-2.265 2.41886e-07
-2.25503 2.39918e-07
-2.24505 2.37845e-07
-2.23507 2.35895e-07
-2.22509 2.33955e-07
-2.21511 2.31972e-07
-2.20514 2.30053e-07
-2.19516 2.28048e-07
-2.18518 2.26057e-07
-2.1752 2.24133e-07
-2.16522 2.22179e-07
-2.15525 2.20242e-07
-2.14527 2.1828e-07
-2.13529 2.16294e-07
-2.12531 2.14333e-07
-2.11533 2.12395e-07
-2.10536 2.1048e-07
-2.09538 2.08509e-07
-2.0854 2.06565e-07
-2.07542 2.0461e-07
-2.06544 2.02647e-07
-2.05547 2.00749e-07
-2.04549 1.9881e-07
-2.03551 1.96869e-07
-2.02553 1.94923e-07
-2.01555 1.92981e-07
-2.00558 1.91072e-07
-1.9956 1.89134e-07
-1.98562 1.87203e-07
-1.97564 1.85279e-07
-1.96566 1.83364e-07
-1.95569 1.8143e-07
-1.94571 1.79509e-07
-1.93573 1.77602e-07
-1.92575 1.7571e-07
-1.91577 1.73807e-07
-1.9058 1.71874e-07
-1.89582 1.69986e-07
-1.88584 1.68093e-07
-1.87586 1.66202e-07
-1.86588 1.64333e-07
-1.85591 1.62445e-07
-1.84593 1.60541e-07
-1.83595 1.58688e-07
-1.82597 1.56843e-07
-1.81599 1.54968e-07
-1.80602 1.53106e-07
-1.79604 1.51259e-07
-1.78606 1.49409e-07
-1.77608 1.47596e-07
-1.7661 1.45765e-07
-1.75613 1.4394e-07
-1.74615 1.42137e-07
-1.73617 1.40325e-07
-1.72619 1.38522e-07
-1.71621 1.36733e-07
-1.70624 1.34971e-07
-1.69626 1.33195e-07
-1.68628 1.31423e-07
-1.6763 1.29682e-07
-1.66632 1.27936e-07
-1.65635 1.26198e-07
-1.64637 1.24484e-07
-1.63639 1.22782e-07
-1.62641 1.21082e-07
-1.61643 1.19377e-07
-1.60646 1.17701e-07
-1.59648 1.16044e-07
-1.5865 1.14377e-07
-1.57652 1.12733e-07
-1.56654 1.11112e-07
-1.55657 1.09489e-07
-1.54659 1.07883e-07
-1.53661 1.06287e-07
-1.52663 1.04696e-07
-1.51665 1.03135e-07
-1.50668 1.01581e-07
-1.4967 1.00037e-07
-1.48672 9.85037e-08
-1.47674 9.6984e-08
-1.46676 9.54862e-08
-1.45679 9.39974e-08
-1.44681 9.25261e-08
-1.43683 9.10617e-08
-1.42685 8.96121e-08
-1.41687 8.8179e-08
-1.4069 8.67574e-08
-1.39692 8.53501e-08
-1.38694 8.39579e-08
-1.37696 8.25825e-08
-1.36698 8.12203e-08
-1.35701 7.98682e-08
-1.34703 7.85286e-08
-1.33705 7.72109e-08
-1.32707 7.59037e-08
-1.31709 7.46055e-08
-1.30712 7.33288e-08
-1.29714 7.20635e-08
-1.28716 7.08086e-08
-1.27718 6.95687e-08
-1.2672 6.83446e-08
-1.25723 6.71322e-08
-1.24725 6.59328e-08
-1.23727 6.47506e-08
-1.22729 6.35761e-08
-1.21731 6.2416e-08
-1.20734 6.12818e-08
-1.19736 6.01384e-08
-1.18738 5.89943e-08
-1.1774 5.78991e-08
-1.16742 5.68171e-08
-1.15745 5.57307e-08
-1.14747 5.46435e-08
-1.13749 5.35761e-08
-1.12751 5.2529e-08
-1.11753 5.1486e-08
-1.10756 5.04505e-08
-1.09758 4.94389e-08
-1.0876 4.84228e-08
-1.07762 4.74194e-08
-1.06764 4.64305e-08
-1.05767 4.54326e-08
-1.04769 4.44531e-08
-1.03771 4.34934e-08
-1.02773 4.25219e-08
-1.01775 4.1554e-08
-1.00778 4.06115e-08
-0.997799 3.96582e-08
-0.987821 3.87078e-08
-0.977843 3.7764e-08
-0.967865 3.68139e-08
-0.957887 3.58702e-08
-0.947909 3.49149e-08
-0.937931 3.39488e-08
-0.927953 3.29832e-08
-0.917975 3.20012e-08
-0.907997 3.09881e-08
-0.898019 2.99515e-08
-0.888041 2.88675e-08
-0.878063 2.7711e-08
-0.868085 2.64563e-08
-0.858107 2.50373e-08
-0.848129 2.31491e-08
-0.838151 0.0555726
-0.828173 0.153233
-0.818195 0.207581
-0.808217 0.248063
-0.798239 0.279674
-0.788261 0.305913
-0.778283 0.328152
-0.768305 0.347456
-0.758327 0.364426
-0.748349 0.379582
-0.738371 0.393198
-0.728393 0.405581
-0.718415 0.416856
-0.708437 0.427244
-0.698459 0.436857
-0.688481 0.445782
-0.678503 0.454093
-0.668525 0.461867
-0.658547 0.469157
-0.648569 0.476042
-0.638591 0.482537
-0.628613 0.488682
-0.618635 0.49453
-0.608657 0.500087
-0.598679 0.505376
-0.588701 0.510443
-0.578723 0.515283
-0.568745 0.519915
-0.558767 0.524375
-0.548789 0.528655
-0.538811 0.53279
-0.528833 0.536768
-0.518855 0.540597
-0.508877 0.544313
-0.498899 0.54792
-0.488921 0.551384
-0.478943 0.554755
-0.468965 0.558039
-0.458987 0.561221
-0.449009 0.564326
-0.439031 0.56734
-0.429053 0.570267
-0.419075 0.573151
-0.409097 0.575956
-0.399119 0.578666
-0.389142 0.581345
-0.379164 0.583973
-0.369186 0.586537
-0.359208 0.589058
-0.34923 0.591518
-0.339252 0.593922
-0.329274 0.59629
-0.319296 0.598623
-0.309318 0.600924
-0.29934 0.603177
-0.289362 0.605401
-0.279384 0.607581
-0.269406 0.609718
-0.259428 0.611849
-0.24945 0.613957
-0.239472 0.61601
-0.229494 0.618043
-0.219516 0.620076
