# ---X---	---Y---
-2.55436 7.04901e-08
-2.54439 6.49592e-08
-2.53441 5.97818e-08
-2.52443 5.49417e-08
-2.51445 5.04144e-08
-2.50447 4.61827e-08
-2.4945 4.22248e-08
-2.48452 3.85289e-08
-2.47454 3.50806e-08
-2.46456 3.18594e-08
-2.45458 2.88576e-08
-2.44461 2.60593e-08
-2.43463 2.34538e-08
-2.42465 2.10329e-08
-2.41467 1.87836e-08
-2.40469 1.6697e-08
-2.39472 1.47652e-08
-2.38474 1.29822e-08
-2.37476 1.13378e-08
-2.36478 9.82407e-09
-2.35481 8.4384e-09
-2.34483 7.17378e-09
-2.33485 6.02518e-09
-2.32487 4.98809e-09
-2.31489 4.05747e-09
-2.30492 3.22987e-09
-2.29494 2.50209e-09
-2.28496 1.87209e-09
-2.27498 1.33667e-09
-2.265 8.93813e-10
-2.25503 5.41846e-10
-2.24505 2.7925e-10
-2.23507 1.05317e-10
-2.22509 1.97948e-11
-2.21511 2.21808e-11
-2.20514 1.12797e-10
-2.19516 2.92148e-10
-2.18518 5.61304e-10
-2.1752 9.2162e-10
-2.16522 1.37433e-09
-2.15525 1.92241e-09
-2.14527 2.56859e-09
-2.13529 3.31432e-09
-2.12531 4.16344e-09
-2.11533 5.12143e-09
-2.10536 6.19166e-09
-2.09538 7.37765e-09
-2.0854 8.68673e-09
-2.07542 1.01245e-08
-2.06544 1.16943e-08
-2.05547 1.34069e-08
-2.04549 1.52681e-08
-2.03551 1.72873e-08
-2.02553 1.94748e-08
-2.01555 2.18356e-08
-2.00558 2.43834e-08
-1.9956 2.71287e-08
-1.98562 3.00848e-08
-1.97564 3.32685e-08
-1.96566 3.66854e-08
-1.95569 4.0354e-08
-1.94571 4.42944e-08
-1.93573 4.85195e-08
-1.92575 5.30551e-08
-1.91577 5.79128e-08
-1.9058 6.31183e-08
-1.89582 6.86985e-08
-1.88584 7.4672e-08
-1.87586 8.10689e-08
-1.86588 8.7918e-08
-1.85591 9.52537e-08
-1.84593 1.03105e-07
-1.83595 1.11505e-07
-1.82597 1.20496e-07
-1.81599 1.30105e-07
-1.80602 1.40415e-07
-1.79604 1.51456e-07
-1.78606 1.63209e-07
-1.77608 1.75832e-07
-1.7661 1.89371e-07
-1.75613 2.03811e-07
-1.74615 2.19258e-07
-1.73617 2.35762e-07
-1.72619 2.53443e-07
-1.71621 2.72432e-07
-1.70624 2.92725e-07
-1.69626 3.14383e-07
-1.68628 3.37636e-07
-1.6763 3.62555e-07
-1.66632 3.89064e-07
-1.65635 4.17593e-07
-1.64637 4.48148e-07
-1.63639 4.80645e-07
-1.62641 5.15661e-07
-1.61643 5.53133e-07
-1.60646 5.93186e-07
-1.59648 6.36165e-07
-1.5865 6.8211e-07
-1.57652 7.31263e-07
-1.56654 7.83941e-07
-1.55657 8.40535e-07
-1.54659 9.01026e-07
-1.53661 9.6572e-07
-1.52663 1.03525e-06
-1.51665 1.10974e-06
-1.50668 1.18956e-06
-1.4967 1.27484e-06
-1.48672 1.36634e-06
-1.47674 1.4647e-06
-1.46676 1.56995e-06
-1.45679 1.68259e-06
-1.44681 1.80339e-06
-1.43683 1.93293e-06
-1.42685 2.07187e-06
-1.41687 2.22091e-06
-1.4069 2.38054e-06
-1.39692 2.55155e-06
-1.38694 2.73518e-06
-1.37696 2.93206e-06
-1.36698 3.14294e-06
-1.35701 3.3692e-06
-1.34703 3.61196e-06
-1.33705 3.87206e-06
-1.32707 4.15091e-06
-1.31709 4.45007e-06
-1.30712 4.77086e-06
-1.29714 5.11478e-06
-1.28716 5.48323e-06
-1.27718 5.87819e-06
-1.2672 6.30205e-06
-1.25723 6.75625e-06
-1.24725 7.2431e-06
-1.23727 7.76505e-06
-1.22729 8.32385e-06
-1.21731 8.92304e-06
-1.20734 9.56554e-06
-1.19736 1.02535e-05
-1.18738 1.09902e-05
-1.1774 1.17799e-05
-1.16742 1.26259e-05
-1.15745 1.3532e-05
-1.14747 1.45023e-05
-1.13749 1.5541e-05
-1.12751 1.66533e-05
-1.11753 1.78448e-05
-1.10756 1.91186e-05
-1.09758 2.04877e-05
-1.0876 2.1948e-05
-1.07762 2.35147e-05
-1.06764 2.51918e-05
-1.05767 2.69847e-05
-1.04769 2.89067e-05
-1.03771 3.09644e-05
-1.02773 3.31726e-05
-1.01775 3.55384e-05
-1.00778 3.80719e-05
-0.997799 4.07878e-05
-0.987821 4.3715e-05
-0.977843 4.68472e-05
-0.967865 5.02032e-05
-0.957887 5.38252e-05
-0.947909 5.77167e-05
-0.937931 6.19045e-05
-0.927953 6.64269e-05
-0.917975 7.13025e-05
-0.907997 7.65631e-05
-0.898019 8.22681e-05
-0.888041 8.84582e-05
-0.878063 9.51478e-05
-0.868085 0.000102437
-0.858107 0.000110391
-0.848129 0.000119039
-0.838151 0.000128488
-0.828173 0.00013887
-0.818195 0.000150252
-0.808217 0.000162754
-0.798239 0.000176548
-0.788261 0.000191803
-0.778283 0.00020871
-0.768305 0.000227459
-0.758327 0.000248325
-0.748349 0.000271613
-0.738371 0.000297692
-0.728393 0.000326976
-0.718415 0.00035988
-0.708437 0.000396996
-0.698459 0.000439037
-0.688481 0.000486749
-0.678503 0.000541132
-0.668525 0.000603374
-0.658547 0.000674939
-0.648569 0.000757572
-0.638591 0.000853684
-0.628613 0.000966333
-0.618635 0.00109987
-0.608657 0.00126018
-0.598679 0.00145737
-0.588701 0.00170711
-0.578723 0.00205328
-0.568745 0.00262629
-0.558767 0.00337345
-0.548789 0.00411072
